# source_display	source_lookup	target_display	target_lookup	type	de_noun	fr_question	target_article
# legacy rows below may still use the compact 3-column format: source	target	type
Je préfère réfléchir avant de répondre.	ich denke lieber nach bevor ich antworte	phrases
Je préfère voyager en train.	ich reise lieber mit dem zug	phrases
Je prends le train à huit heures.	ich nehme den zug um acht uhr	phrases
Je prépare le dîner ce soir.	ich bereite heute abend das abendessen vor	phrases
Je prépare mon bagage.	ich packe mein gepäck	phrases
Je suis en retard.	ich bin zu spät	phrases
Je suis fatigué.	ich bin müde	phrases
Je suis perdu.	ich habe mich verlaufen	phrases
Je suis prêt.	ich bin bereit	phrases
Je travaille au bureau aujourd hui.	ich arbeite heute im büro	phrases
Je traverse le carrefour.	ich überquere die kreuzung	phrases
Je vais au marché.	ich gehe zum markt	phrases
Je vois un oiseau.	ich sehe einen vogel	phrases
Je voudrais approfondir ce sujet.	ich möchte dieses thema vertiefen	phrases
Je voudrais changer de chambre.	ich möchte das zimmer wechseln	phrases
Je voudrais réserver une table.	ich möchte einen tisch reservieren	phrases
Je voudrais un café.	ich möchte einen kaffee	phrases
jeudi		words
jeune		words
jour	tag	words
journal	zeitung	words
jus	saft	words
J’ai imprimé le document ce matin.	ich habe das dokument heute morgen ausgedruckt	phrases
J’aime lire le soir.	ich lese gern am abend	phrases
J’attends une livraison importante.	ich warte auf eine wichtige lieferung	phrases
J’ouvre la fenêtre.	ich öffne das fenster	phrases
La batterie de mon téléphone est presque vide.	der akku von meinem telefon ist fast leer	phrases
La bibliothèque ferme à dix-huit heures.	die bibliothek schließt um achtzehn uhr	phrases
La cascade est magnifique.	der wasserfall ist wunderschön	phrases
La frontière est encore loin.	die grenze ist noch weit entfernt	phrases
La météo annonce du vent demain.	der wetterbericht meldet morgen wind	phrases
La pharmacie est elle ouverte ?	ist die apotheke geöffnet	phrases
La qualité de ce travail est remarquable.	die qualität dieser arbeit ist bemerkenswert	phrases
La soupe est chaude.	die suppe ist warm	phrases
lait	milch	words
lapin	kaninchen	words
Le chat dort sur la chaise.	die katze schläft auf dem stuhl	phrases
Le cheval est dans le champ.	das pferd ist auf dem feld	phrases
Le ciel est bleu.	der himmel ist blau	phrases
Le colis arrive demain.	das paket kommt morgen an	phrases
Le magasin ferme à six heures.	das geschäft schließt um sechs uhr	phrases
Le musée ouvre à dix heures.	das museum öffnet um zehn uhr	phrases
Le quartier change rapidement.	das viertel verändert sich schnell	phrases
Le soutien de l équipe était précieux.	die unterstützung des teams war wertvoll	phrases
Le village est très calme.	das dorf ist sehr ruhig	phrases
Le voisin parle très fort.	der nachbar spricht sehr laut	phrases
leçon		words
légitimité		words
légitimité	legitimität	words
lent		words
Les résultats sont meilleurs que prévu.	die ergebnisse sind besser als erwartet	phrases
lessive		words
liberté	freiheit	words
librairie		words
lion		words
lion	löwe	words
livraison		words
livre	buch	words
long		words
loup		words
loup	wolf	words
lucidité		words
lucidité	klarheit	words
lundi		words
lune	mond	words
Ma montre est neuve.	meine uhr ist neu	phrases
magasin	geschäft	words
main	hand	words
maison	haus	words
Malgré le retard, nous sommes restés calmes.	trotz der verspätung sind wir ruhig geblieben	phrases
marché	markt	words
mardi		words
marron		words
matin	morgen	words
médicament		words
médicament	medikament	words
méfiance		words
méfiance	misstrauen	words
mémoire		words
mémoire	erinnerung	words
merci	danke	words
mercredi		words
mère		words
météo	wetter	words
métro	u bahn	words
modernité		words
modernité	moderne	words
mois		words
Mon chargeur est dans le bureau.	mein ladegerät ist im büro	phrases
Mon ordinateur est trop lent.	mein computer ist zu langsam	phrases
Mon téléphone ne fonctionne plus.	mein telefon funktioniert nicht mehr	phrases
montagne	berg	words
montre	uhr	words
morale		words
mot de passe		words
musique	musik	words
navette		words
négociation		words
négociation	verhandlung	words
neige		words
neige	schnee	words
noir		words
non	nein	words
Nous avons besoin d aide.	wir brauchen hilfe	phrases
Nous avons besoin d une réponse rapide.	wir brauchen eine schnelle antwort	phrases
Nous avons discuté du projet pendant une heure.	wir haben eine stunde über das projekt gesprochen	phrases
Nous avons finalement trouvé un compromis.	wir haben am ende einen kompromiss gefunden	phrases
Nous avons pris un abonnement mensuel.	wir haben ein monatliches abonnement abgeschlossen	phrases
Nous avons reçu la facture par e-mail.	wir haben die rechnung per e mail erhalten	phrases
Nous devons respecter la date limite.	wir müssen die frist einhalten	phrases
Nous faisons une promenade en forêt.	wir machen einen spaziergang im wald	phrases
Nous mangeons une salade.	wir essen einen salat	phrases
Nous partons ce soir.	wir fahren heute abend los	phrases
Nous restons trois nuits.	wir bleiben drei nächte	phrases
Nous sommes dans le jardin.	wir sind im garten	phrases
Nous suivons le même itinéraire.	wir folgen derselben route	phrases
Nous visitons la ville demain.	wir besuchen morgen die stadt	phrases
nuage		words
nuage	wolke	words
nuance		words
nuance	nuance	words
nuit	nacht	words
occasion	gelegenheit	words
oiseau	vogel	words
oncle		words
orange		words
ordinateur	computer	words
ordonnance		words
ordonnance	rezept	words
Où est la gare ?	wo ist der bahnhof	phrases
Où est ma clé ?	wo ist mein schlüssel	phrases
Où habites tu ?	wo wohnst du	phrases
Où puis je acheter un billet ?	wo kann ich ein ticket kaufen	phrases
Où sont les toilettes ?	wo ist die toilette	phrases
Où ?	Wo?	phrases
Où?	Wo?	phrases
oui	ja	words
ours		words
ours	bär	words
Ouvrez la porte, s il vous plaît.	öffnen sie bitte die tür	phrases
pain	brot	words
pansement		words
pantalon	hose	words
papillon		words
papillon	schmetterling	words
parapluie		words
parfois		words
Parlez plus lentement, s il vous plaît.	sprechen sie bitte langsamer	phrases
patience		words
pauvreté	armut	words
paysage		words
pension		words
pénurie		words
pénurie	knappheit	words
père		words
persévérance		words
persévérance	ausdauer	words
perspective		words
perspective	perspektive	words
perspicacité		words
perspicacité	scharfsinn	words
pertinence		words
petit		words
petit déjeuner	frühstück	words
Peux-tu vérifier l’adresse ?	kannst du die adresse überprüfen	phrases
pharmacie		words
pharmacie	apotheke	words
phoque		words
phoque	robbe	words
pieuvre		words
pieuvre	krake	words
piscine		words
plage	strand	words
pluie		words
pluie	regen	words
poisson		words
poisson	fisch	words
polémique	kontroverse	words
politesse		words
pomme	apfel	words
porte	tür	words
Pourquoi tu ris ?	warum lachst du	phrases
Pouvez vous m aider ?	können sie mir helfen	phrases
Pouvez vous répéter la question ?	können sie die frage wiederholen	phrases
Pouvez vous résumer les points principaux ?	können sie die wichtigsten punkte zusammenfassen	phrases
pouvoir		words
précarité		words
précarité	unsicherheit	words
précision	genauigkeit	words
printemps		words
printemps	frühling	words
priorité		words
priorité	priorität	words
problème	problem	words
professeur		words
progrès		words
prononciation		words
proposition	vorschlag	words
propre		words
prospérité		words
prospérité	wohlstand	words
Puis je payer par carte ?	kann ich mit karte bezahlen	phrases
qualité	qualität	words
quartier		words
quartier	viertel	words
Quelle heure est il ?	wie spät ist es	phrases
question	frage	words
raisonnement		words
raisonnement	gedankengang	words
randonnée		words
randonnée	wanderung	words
rangement		words
rapide		words
rayonnement	ausstrahlung	words
réception		words
recherche	forschung	words
réconciliation		words
réconciliation	versöhnung	words
règle		words
renard		words
renard	fuchs	words
réparation		words
réponse	antwort	words
réputation		words
réputation	ruf	words
requin		words
requin	hai	words
résilience		words
résilience	widerstandskraft	words
responsabilité		words
responsabilité	verantwortung	words
résultat	ergebnis	words
retard		words
réticence		words
réunion		words
réunion	meeting	words
réussite		words
réussite	erfolg	words
revendication		words
revendication	forderung	words
richesse	reichtum	words
rigueur		words
rigueur	strenge	words
rivière	fluss	words
rose		words
rouge		words
rue	straße	words
s il vous plaît	bitte	words
salade	salat	words
salaire		words
sale		words
Salut !	Hallo! auch: Tschüss!	phrases
samedi		words
semaine		words
sensibilité		words
sensibilité	sensibilität	words
sentier		words
sentiment	gefühl	words
singe		words
singe	affe	words
soeur		words
soir	abend	words
soleil	sonne	words
solidarité		words
solidarité	solidarität	words
solidité	stabilität	words
solution	lösung	words
Son comportement a changé récemment.	sein verhalten hat sich kürzlich verändert	phrases
Son discours était clair et convaincant.	seine rede war klar und überzeugend	phrases
super	super, toll	words
soulagement		words
soulagement	erleichterung	words
soupe	suppe	words
souris		words
souris	maus	words
soutien	unterstützung	words
souvent		words
stabilité		words
stade		words
stage		words
stratégie		words
table	tisch	words
tante		words
tard		words
téléphone	telefon	words
témoignage		words
témoignage	zeugnis	words
thé	tee	words
toi	du	words
tigre		words
tigre	tiger	words
tolérance		words
tolérance	toleranz	words
tortue		words
tortue	schildkröte	words
tôt		words
tradition		words
traduction		words
train	zug	words
traitement		words
transformation		words
transformation	veränderung	words
travail	arbeit	words
triste		words
trottoir		words
trousse		words
Tu t'appelles comment ?	Wie heißt du?	phrases
Tu as froid ?	ist dir kalt	phrases
Tu veux du jus ?	möchtest du saft	phrases
vacances	urlaub	words
valeur	wert	words
valise	koffer	words
vendredi		words
vent		words
vent	wind	words
vert		words
vieux		words
vigilance	wachsamkeit	words
village	dorf	words
ville	stadt	words
violet		words
visage	gesicht	words
vitesse	geschwindigkeit	words
Voici mon billet.	hier ist mein ticket	phrases
voisin		words
voisin	nachbar	words
voisinage		words
voisine		words
voiture	auto	words
voyage	reise	words
vulnérabilité		words
vulnérabilité	verletzlichkeit	words
zèbre		words
zèbre	zebra	words
