source_display	target	card_type	level	word_class	gender	topic	flelex_word	freq_total
falloir	müssen	words	A1	verb		Allgemein	falloir	1196.26
mettre	setzen	words	A1	verb		Allgemein	mettre	1179.72
non	nein	words	A1	adverb		Allgemein	non	1155.97
bon	gut	words	A1	adjective		Allgemein	bon	1140.03
le monde	die Welt	words	A1	noun	m	Allgemein	monde	1132.93
la vie	das Leben	words	A1	noun	f	Allgemein	vie	1109.07
celui	derjenige	words	A1	pronoun		Allgemein	celui	1108.84
donner	geben	words	A1	verb		Allgemein	donner	1087.95
aimer	lieben	words	A1	verb		Allgemein	aimer	1083.57
nouveau	neu	words	A1	adjective		Allgemein	nouveau	1079.54
l'enfant	das Kind	words	A1	noun	m	Allgemein	enfant	1071.26
toujours	immer	words	A1	adverb		Allgemein	toujours	1070.37
puis	dann	words	A1	adverb		Allgemein	puis	1061.53
chez	bei	words	A1	preposition		Allgemein	chez	1058.68
demander	fragen	words	A1	verb		Allgemein	demander	1037.21
entre	zwischen	words	A1	preposition		Allgemein	entre	1032.37
beaucoup	viel	words	A1	adverb		Allgemein	beaucoup	1018.76
oui	ja	words	A1	interjection		Allgemein	oui	1006.72
arriver	ankommen	words	A1	verb		Allgemein	arriver	998.61
penser	denken	words	A1	verb		Allgemein	penser	988.91
la chose	die Sache	words	A1	noun	f	Allgemein	chose	984.73
regarder	sehen	words	A1	verb		Allgemein	regarder	975.66
rester	bleiben	words	A1	verb		Allgemein	rester	967.93
connaître	kennen	words	A1	verb		Allgemein	connaître	965.66
la personne	die Person	words	A1	noun	f	Allgemein	personne	934.21
même	selbst	words	A1	adjective		Allgemein	même	900.84
partir	gehen	words	A1	verb		Allgemein	partir	895.18
l'année	das Jahr	words	A1	noun	f	Allgemein	année	891.21
jeune	jung	words	A1	adjective		Allgemein	jeune	878.32
la maison	das Haus	words	A1	noun	f	Allgemein	maison	855.34
depuis	seit	words	A1	preposition		Allgemein	depuis	854.70
moins	weniger	words	A1	adverb		Allgemein	moins	841.75
devenir	werden	words	A1	verb		Allgemein	devenir	822.34
seul	allein	words	A1	adjective		Allgemein	seul	821.64
après	nach	words	A1	preposition		Allgemein	après	797.94
donc	also	words	A1	adverb		Allgemein	donc	785.80
rien	nichts	words	A1	adverb		Allgemein	rien	780.55
le pays	das Land	words	A1	noun	m	Allgemein	pays	771.72
vers	zu	words	A1	preposition		Allgemein	vers	750.50
répondre	antworten	words	A1	verb		Allgemein	répondre	745.96
entendre	hören	words	A1	verb		Allgemein	entendre	743.44
monsieur	der Herr	words	A1	noun	m	Allgemein	monsieur	732.34
appeler	rufen	words	A1	verb		Allgemein	appeler	727.76
aujourd'hui	heute	words	A1	adverb		Allgemein	aujourd'hui	711.08
français	französisch	words	A1	adjective		Allgemein	français	709.88
le travail	die Arbeit	words	A1	noun	m	Allgemein	travail	703.91
beau	schön	words	A1	adjective		Allgemein	beau	701.99
attendre	warten	words	A1	verb		Allgemein	attendre	701.46
sortir	ausgehen	words	A1	verb		Allgemein	sortir	694.10
la ville	die Stadt	words	A1	noun	f	Allgemein	ville	693.58
l'ami	der Freund	words	A1	noun	m	Allgemein	ami	674.89
vivre	leben	words	A1	verb		Allgemein	vivre	667.58
pendant	während	words	A1	preposition		Allgemein	pendant	663.78
croire	glauben	words	A1	verb		Allgemein	croire	641.51
jamais	nie	words	A1	adverb		Allgemein	jamais	637.95
avant	vor	words	A1	preposition		Allgemein	avant	632.90
comprendre	verstehen	words	A1	verb		Allgemein	comprendre	627.85
trop	zu	words	A1	adverb		Allgemein	trop	626.73
la fille	die Tochter	words	A1	noun	f	Allgemein	fille	625.70
souvent	oft	words	A1	adverb		Allgemein	souvent	621.63
comment	wie	words	A1	adverb		Allgemein	comment	618.32
quel	welcher	words	A1	pronoun		Allgemein	quel	614.39
chercher	suchen	words	A1	verb		Allgemein	chercher	603.58
le père	der Vater	words	A1	noun	m	Allgemein	père	602.45
ici	hier	words	A1	adverb		Allgemein	ici	602.14
contre	gegen	words	A1	preposition		Allgemein	contre	601.61
la main	die Hand	words	A1	noun	f	Allgemein	main	595.91
la porte	die Tür	words	A1	noun	f	Allgemein	porte	595.86
travailler	arbeiten	words	A1	verb		Allgemein	travailler	587.87
laisser	lassen	words	A1	verb		Allgemein	laisser	578.92
devant	vor	words	A1	preposition		Allgemein	devant	573.31
la place	der Platz	words	A1	noun	f	Allgemein	place	572.02
jusque	bis	words	A1	preposition		Allgemein	jusque	567.78
la famille	die Familie	words	A1	noun	f	Allgemein	famille	566.91
parce	weil	words	A1	conjunction		Allgemein	parce	562.85
pourquoi	warum	words	A1	adverb		Allgemein	pourquoi	561.21
maintenant	jetzt	words	A1	adverb		Allgemein	maintenant	561.06
car	denn	words	A1	conjunction		Allgemein	car	558.77
dernier	letzter	words	A1	adjective		Allgemein	dernier	554.12
les gens	die Leute	words	A1	noun	m	Allgemein	gens	551.90
le soir	der Abend	words	A1	noun	m	Allgemein	soir	548.21
l'œil	das Auge	words	A1	noun	n	Allgemein	oeil	543.75
sûr	sicher	words	A1	adjective		Allgemein	sûr	542.90
la nuit	die Nacht	words	A1	noun	f	Allgemein	nuit	538.53
entrer	eintreten	words	A1	verb		Allgemein	entrer	535.33
toi	du	words	A1	pronoun		Allgemein	toi	532.65
la rue	die Straße	words	A1	noun	f	Allgemein	rue	532.46
l'histoire	die Geschichte	words	A1	noun	f	Allgemein	histoire	526.77
le moment	der Moment	words	A1	noun	m	Allgemein	moment	525.75
eux	sie	words	A1	pronoun		Allgemein	eux	525.63
près	nahe	words	A1	adverb		Allgemein	près	522.19
déjà	schon	words	A1	adverb		Allgemein	déjà	520.68
peut-être	vielleicht	words	A1	adverb		Allgemein	peut-être	518.22
commencer	anfangen	words	A1	verb		Allgemein	commencer	509.31
la chambre	das Zimmer	words	A1	noun	f	Allgemein	chambre	507.58
sous	unter	words	A1	preposition		Allgemein	sous	498.90
le coup	der Schlag	words	A1	noun	m	Allgemein	coup	498.90
la tête	der Kopf	words	A1	noun	f	Allgemein	tête	498.26
retrouver	wiederfinden	words	A1	verb		Allgemein	retrouver	495.81
certain	gewiss	words	A1	pronoun		Allgemein	certain	493.18
tard	spät	words	A1	adverb		Allgemein	tard	488.01
le côté	die Seite	words	A1	noun	m	Allgemein	côté	486.88
le nom	der Name	words	A1	noun	m	Allgemein	nom	482.21
la mère	die Mutter	words	A1	noun	f	Allgemein	mère	479.82
revenir	kommen	words	A1	verb		Allgemein	revenir	466.61
chaque	jede	words	A1	pronoun		Allgemein	chaque	456.61
la voiture	das Auto	words	A1	noun	f	Allgemein	voiture	456.45
le matin	der Morgen	words	A1	noun	m	Allgemein	matin	451.29
la question	die Frage	words	A1	noun	f	Allgemein	question	450.33
écrire	schreiben	words	A1	verb		Allgemein	écrire	445.66
permettre	erlauben	words	A1	verb		Allgemein	permettre	436.80
arrêter	anhalten	words	A1	verb		Allgemein	arrêter	436.43
vieux	alt	words	A1	adjective		Allgemein	vieux	433.06
porter	tragen	words	A1	verb		Allgemein	porter	429.77
le lieu	der Ort	words	A1	noun	m	Allgemein	lieu	429.45
l'idée	die Idee	words	A1	noun	f	Allgemein	idée	428.55
seulement	nur	words	A1	adverb		Allgemein	seulement	426.66
vrai	wahr	words	A1	adjective		Allgemein	VRAI	419.84
l'exemple	das Beispiel	words	A1	noun	m	Allgemein	exemple	417.89
rendre	zurückgeben	words	A1	verb		Allgemein	rendre	416.78
suivre	folgen	words	A1	verb		Allgemein	suivre	416.47
expliquer	erklären	words	A1	verb		Allgemein	expliquer	414.42
tenir	halten	words	A1	verb		Allgemein	tenir	409.71
madame	die Frau	words	A1	noun	f	Allgemein	madame	406.95
lire	lesen	words	A1	verb		Allgemein	lire	405.73
enfin	endlich	words	A1	adverb		Allgemein	enfin	401.19
nombreux	zahlreich	words	A1	adjective		Allgemein	nombreux	398.72
montrer	zeigen	words	A1	verb		Allgemein	montrer	394.55
l'eau	das Wasser	words	A1	noun	f	Allgemein	eau	387.10
ni	weder	words	A1	conjunction		Allgemein	ni	382.03
ainsi	so	words	A1	adverb		Allgemein	ainsi	378.97
plusieurs	mehrere	words	A1	pronoun		Allgemein	plusieurs	376.50
manger	essen	words	A1	verb		Allgemein	manger	374.28
mieux	besser	words	A1	adverb		Allgemein	mieux	372.44
continuer	fortfahren	words	A1	verb		Allgemein	continuer	372.08
la peur	die Angst	words	A1	noun	f	Allgemein	peur	367.26
l'école	die Schule	words	A1	noun	f	Allgemein	école	367.20
l'air	die Luft	words	A1	noun	m	Allgemein	air	366.20
l'effet	der Effekt	words	A1	noun	m	Allgemein	effet	366.06
le siècle	das Jahrhundert	words	A1	noun	m	Allgemein	siècle	361.75
la voix	die Stimme	words	A1	noun	f	Allgemein	voix	359.09
le mot	das Wort	words	A1	noun	m	Allgemein	mot	357.42
vite	schnell	words	A1	adverb		Allgemein	vite	355.01
jouer	spielen	words	A1	verb		Allgemein	jouer	353.19
voilà	da ist	words	A1	adverb		Allgemein	voilà	352.84
surtout	vor allem	words	A1	adverb		Allgemein	surtout	352.40
la terre	die Erde	words	A1	noun	f	Allgemein	terre	351.96
loin	weit	words	A1	adverb		Allgemein	loin	350.95
la langue	die Sprache	words	A1	noun	f	Allgemein	langue	349.12
sembler	scheinen	words	A1	verb		Allgemein	sembler	348.71
rentrer	zurückkehren	words	A1	verb		Allgemein	rentrer	337.21
ah	ah	words	A1	interjection		Allgemein	ah	335.56
la salle	der Raum	words	A1	noun	f	Allgemein	salle	334.21
aider	helfen	words	A1	verb		Allgemein	aider	332.73
mourir	sterben	words	A1	verb		Allgemein	mourir	332.35
fort	stark	words	A1	adjective		Allgemein	fort	330.91
ouvrir	öffnen	words	A1	verb		Allgemein	ouvrir	330.64
longtemps	lange	words	A1	adverb		Allgemein	longtemps	329.33
l'argent	das Geld	words	A1	noun	n	Allgemein	argent	327.36
perdre	verlieren	words	A1	verb		Allgemein	perdre	326.70
habiter	wohnen	words	A1	verb		Allgemein	habiter	325.31
aucun	keiner	words	A1	pronoun		Allgemein	aucun	320.50
la semaine	die Woche	words	A1	noun	f	Allgemein	semaine	320.45
la fin	das Ende	words	A1	noun	f	Allgemein	fin	320.12
tomber	fallen	words	A1	verb		Allgemein	tomber	319.24
d'abord	zuerst	words	A1	adverb		Allgemein	d'abord	318.48
la raison	der Grund	words	A1	noun	f	Allgemein	raison	316.19
sentir	fühlen	words	A1	verb		Allgemein	sentir	313.72
vraiment	wirklich	words	A1	adverb		Allgemein	vraiment	313.27
décider	entscheiden	words	A1	verb		Allgemein	décider	312.66
gros	dick	words	A1	adjective		Allgemein	gros	312.02
quitter	verlassen	words	A1	verb		Allgemein	quitter	311.89
blanc	weiß	words	A1	adjective		Allgemein	blanc	311.81
oublier	vergessen	words	A1	verb		Allgemein	oublier	308.39
important	wichtig	words	A1	adjective		Allgemein	important	306.79
la fête	das Fest	words	A1	noun	f	Allgemein	fête	305.20
raconter	erzählen	words	A1	verb		Allgemein	raconter	304.36
plein	voll	words	A1	adjective		Allgemein	plein	304.31
le problème	das Problem	words	A1	noun	m	Allgemein	problème	301.42
finir	beenden	words	A1	verb		Allgemein	finir	297.87
changer	ändern	words	A1	verb		Allgemein	changer	297.41
la pièce	das Stück	words	A1	noun	f	Allgemein	pièce	295.24
la recherche	die Forschung	words	A1	noun	f	Allgemein	recherche	294.61
rencontrer	treffen	words	A1	verb		Allgemein	rencontrer	292.99
crier	schreien	words	A1	verb		Allgemein	crier	292.70
le besoin	das Bedürfnis	words	A1	noun	m	Allgemein	besoin	290.91
le droit	das Recht	words	A1	noun	m	Allgemein	droit	288.96
découvrir	entdecken	words	A1	verb		Allgemein	découvrir	288.84
la tour	der Turm	words	A1	noun	f	Allgemein	tour	288.20
un million	eine Million	words	A1	noun	m	Allgemein	million	286.93
assez	genug	words	A1	adverb		Allgemein	assez	286.65
l'étude	das Studium	words	A1	noun	f	Allgemein	étude	286.36
l'affaire	die Angelegenheit	words	A1	noun	f	Allgemein	affaire	285.24
quoi	was	words	A1	pronoun		Allgemein	quoi	283.91
créer	erschaffen	words	A1	verb		Allgemein	créer	282.18
ensuite	danach	words	A1	adverb		Allgemein	ensuite	280.43
proposer	vorschlagen	words	A1	verb		Allgemein	proposer	279.43
lever	heben	words	A1	verb		Allgemein	lever	278.52
le jeu	das Spiel	words	A1	noun	m	Allgemein	jeu	278.39
occuper	besetzen	words	A1	verb		Allgemein	occuper	277.16
la mort	der Tod	words	A1	noun	f	Allgemein	mort	275.49
le pied	der Fuß	words	A1	noun	m	Allgemein	pied	275.40
choisir	wählen	words	A1	verb		Allgemein	choisir	275.19
l'euro	der Euro	words	A1	noun	m	Allgemein	euro	274.86
monter	steigen	words	A1	verb		Allgemein	monter	274.45
le roi	der König	words	A1	noun	m	Allgemein	roi	273.34
le livre	das Buch	words	A1	noun	n	Allgemein	livre	273.13
le fait	die Tatsache	words	A1	noun	f	Allgemein	fait	273.02
reconnaître	erkennen	words	A1	verb		Allgemein	reconnaître	271.22
le cas	der Fall	words	A1	noun	m	Allgemein	cas	270.46
naître	geboren werden	words	A1	verb		Allgemein	naître	267.51
la journée	der Tag	words	A1	noun	f	Allgemein	journée	267.45
le garçon	der Junge	words	A1	noun	m	Allgemein	garçon	264.25
le film	der Film	words	A1	noun	m	Allgemein	film	264.10
mal	schlecht	words	A1	adverb		Allgemein	mal	262.75
la partie	der Teil	words	A1	noun	f	Allgemein	partie	261.41
l'âge	das Alter	words	A1	noun	n	Allgemein	âge	260.08
différent	anders	words	A1	adjective		Allgemein	différent	259.62
possible	möglich	words	A1	adjective		Allgemein	possible	258.22
la société	die Gesellschaft	words	A1	noun	f	Allgemein	société	258.02
quelqu'un	jemand	words	A1	pronoun		Allgemein	quelqu'un	257.46
recevoir	erhalten	words	A1	verb		Allgemein	recevoir	257.43
la musique	die Musik	words	A1	noun	f	Allgemein	musique	256.21
écouter	zuhören	words	A1	verb		Allgemein	écouter	255.30
la suite	die Fortsetzung	words	A1	noun	f	Allgemein	suite	252.81
boire	trinken	words	A1	verb		Allgemein	boire	252.77
la fenêtre	das Fenster	words	A1	noun	f	Allgemein	fenêtre	251.12
le café	der Kaffee	words	A1	noun	m	Allgemein	café	249.80
présenter	vorstellen	words	A1	verb		Allgemein	présenter	249.44
tourner	drehen	words	A1	verb		Allgemein	tourner	249.29
le milieu	die Mitte	words	A1	noun	n	Allgemein	milieu	248.83
pourtant	dennoch	words	A1	adverb		Allgemein	pourtant	248.81
asseoir	sitzen	words	A1	verb		Allgemein	asseoir	248.53
heureux	glücklich	words	A1	adjective		Allgemein	heureux	248.05
autour	herum	words	A1	adverb		Allgemein	autour	247.71
exister	existieren	words	A1	verb		Allgemein	exister	247.51
apprendre	lernen	words	A1	verb		Allgemein	apprendre	245.95
la minute	die Minute	words	A1	noun	f	Allgemein	minute	245.91
marcher	gehen	words	A1	verb		Allgemein	marcher	245.11
le visage	das Gesicht	words	A1	noun	n	Allgemein	visage	244.85
l'activité	die Aktivität	words	A1	noun	f	Allgemein	activité	243.99
la façon	die Art	words	A1	noun	f	Allgemein	façon	242.74
presque	fast	words	A1	adverb		Allgemein	presque	239.90
poser	legen	words	A1	verb		Allgemein	poser	239.55
le village	das Dorf	words	A1	noun	n	Allgemein	village	238.72
le voyage	die Reise	words	A1	noun	m	Allgemein	voyage	238.04
plaire	gefallen	words	A1	verb		Allgemein	plaire	236.72
la grâce	die Gnade	words	A1	noun	f	Allgemein	grâce	235.38
la part	der Teil	words	A1	noun	f	Allgemein	part	235.36
l'amour	die Liebe	words	A1	noun	m	Allgemein	amour	235.10
le quartier	das Viertel	words	A1	noun	m	Allgemein	quartier	234.89
envoyer	senden	words	A1	verb		Allgemein	envoyer	234.29
l'entreprise	die Firma	words	A1	noun	f	Allgemein	entreprise	234.24
rire	lachen	words	A1	verb		Allgemein	rire	233.71
la police	die Polizei	words	A1	noun	f	Allgemein	police	233.33
préparer	vorbereiten	words	A1	verb		Allgemein	préparer	231.50
la table	der Tisch	words	A1	noun	f	Allgemein	table	231.17
eh	eh	words	A1	interjection		Allgemein	eh	231.07
le bureau	das Büro	words	A1	noun	m	Allgemein	bureau	229.43
meilleur	besser	words	A1	adjective		Allgemein	meilleur	228.63
chacun	jeder	words	A1	pronoun		Allgemein	chacun	228.52
difficile	schwierig	words	A1	adjective		Allgemein	difficile	228.34
le projet	das Projekt	words	A1	noun	m	Allgemein	projet	227.43
parfois	manchmal	words	A1	adverb		Allgemein	parfois	226.56
acheter	kaufen	words	A1	verb		Allgemein	acheter	225.00
le mari	der Ehemann	words	A1	noun	m	Allgemein	mari	224.62
gagner	gewinnen	words	A1	verb		Allgemein	gagner	223.67
l'habitude	die Gewohnheit	words	A1	noun	f	Allgemein	habitude	222.15
le cheval	das Pferd	words	A1	noun	m	Allgemein	cheval	221.64
la vacance	der Urlaub	words	A1	noun	f	Allgemein	vacance	221.22
noir	schwarz	words	A1	adjective		Allgemein	noir	220.53
demain	morgen	words	A1	adverb		Allgemein	demain	220.07
apporter	bringen	words	A1	verb		Allgemein	apporter	219.63
le train	der Zug	words	A1	noun	m	Allgemein	train	219.58
derrière	hinter	words	A1	preposition		Allgemein	derrière	219.21
rappeler	erinnern	words	A1	verb		Allgemein	rappeler	218.99
selon	laut	words	A1	preposition		Allgemein	selon	217.64
dormir	schlafen	words	A1	verb		Allgemein	dormir	217.59
le bruit	der Lärm	words	A1	noun	m	Allgemein	bruit	217.35
général	allgemein	words	A1	adjective		Allgemein	général	217.35
ancien	alt	words	A1	adjective		Allgemein	ancien	217.05
bonjour	guten Tag	words	A1	noun		Allgemein	bonjour	216.65
merci	danke	words	A1	noun		Allgemein	merci	216.06
servir	dienen	words	A1	verb		Allgemein	servir	214.50
l'envie	der Wunsch	words	A1	noun	f	Allgemein	envie	213.30
anglais	englisch	words	A1	adjective		Allgemein	anglais	213.26
la lettre	der Brief	words	A1	noun	f	Allgemein	lettre	212.41
utiliser	benutzen	words	A1	verb		Allgemein	utiliser	212.35
la région	die Region	words	A1	noun	f	Allgemein	région	212.31
simple	einfach	words	A1	adjective		Allgemein	simple	212.01
intéresser	interessieren	words	A1	verb		Allgemein	intéresser	209.24
cacher	verstecken	words	A1	verb		Allgemein	cacher	208.99
le prix	der Preis	words	A1	noun	m	Allgemein	prix	208.24
également	ebenfalls	words	A1	adverb		Allgemein	également	207.92
d'accord	einverstanden	words	A1	adverb		Allgemein	d'accord	206.58
la couleur	die Farbe	words	A1	noun	f	Allgemein	couleur	206.24
le groupe	der Gruppe	words	A1	noun	m	Allgemein	groupe	205.47
ensemble	zusammen	words	A1	adverb		Allgemein	ensemble	205.26
étranger	fremd	words	A1	adjective		Allgemein	étranger	205.22
offrir	anbieten	words	A1	verb		Allgemein	offrir	204.45
le lit	das Bett	words	A1	noun	m	Allgemein	lit	203.35
la face	das Gesicht	words	A1	noun	f	Allgemein	face	201.45
plutôt	eher	words	A1	adverb		Allgemein	plutôt	201.43
la carte	die Karte	words	A1	noun	f	Allgemein	carte	201.27
préférer	bevorzugen	words	A1	verb		Allgemein	préférer	201.25
juste	gerecht	words	A1	adjective		Allgemein	juste	200.33
politique	politisch	words	A1	adjective		Allgemein	politique	200.15
retourner	zurückkehren	words	A1	verb		Allgemein	retourner	199.96
le coeur	das Herz	words	A1	noun	m	Allgemein	coeur	199.88
la demande	die Anfrage	words	A1	noun	f	Allgemein	demande	198.12
jeter	werfen	words	A1	verb		Allgemein	jeter	198.07
l'attention	die Aufmerksamkeit	words	A1	noun	f	Allgemein	attention	196.52
triste	traurig	words	A1	adjective		Allgemein	triste	194.47
tirer	ziehen	words	A1	verb		Allgemein	tirer	194.00
le téléphone	das Telefon	words	A1	noun	m	Allgemein	téléphone	193.93
le château	das Schloss	words	A1	noun	m	Allgemein	château	193.45
l'information	die Information	words	A1	noun	f	Allgemein	information	193.38
reprendre	wieder aufnehmen	words	A1	verb		Allgemein	reprendre	193.24
la cause	die Ursache	words	A1	noun	f	Allgemein	cause	192.54
la forme	die Form	words	A1	noun	f	Allgemein	forme	191.90
compter	zählen	words	A1	verb		Allgemein	compter	191.86
rouge	rot	words	A1	adjective		Allgemein	rouge	190.54
le bout	das Ende	words	A1	noun	m	Allgemein	bout	188.47
courir	laufen	words	A1	verb		Allgemein	courir	188.30
descendre	hinuntergehen	words	A1	verb		Allgemein	descendre	185.37
le bras	der Arm	words	A1	noun	m	Allgemein	bras	184.38
national	national	words	A1	adjective		Allgemein	national	183.07
long	lang	words	A1	adjective		Allgemein	long	182.63
le mariage	die Ehe	words	A1	noun	m	Allgemein	mariage	182.49
l'origine	der Ursprung	words	A1	noun	f	Allgemein	origine	181.81
l'hôtel	das Hotel	words	A1	noun	n	Allgemein	hôtel	181.12
la montagne	der Berg	words	A1	noun	f	Allgemein	montagne	180.49
le début	der Anfang	words	A1	noun	m	Allgemein	début	177.94
bientôt	bald	words	A1	adverb		Allgemein	bientôt	177.64
ajouter	hinzufügen	words	A1	verb		Allgemein	ajouter	177.39
oh	oh	words	A1	interjection		Allgemein	oh	177.31
l'arbre	der Baum	words	A1	noun	m	Allgemein	arbre	175.73
disparaître	verschwinden	words	A1	verb		Allgemein	disparaître	175.15
l'endroit	der Ort	words	A1	noun	m	Allgemein	endroit	175.05
marier	heiraten	words	A1	verb		Allgemein	marier	174.96
soit	sei	words	A1	conjunction		Allgemein	soit	174.62
le chemin	der Weg	words	A1	noun	m	Allgemein	chemin	174.57
la route	die Straße	words	A1	noun	f	Allgemein	route	174.42
battre	schlagen	words	A1	verb		Allgemein	battre	174.32
le succès	der Erfolg	words	A1	noun	m	Allgemein	succès	174.19
l'association	die Vereinigung	words	A1	noun	f	Allgemein	association	173.84
le service	der Dienst	words	A1	noun	m	Allgemein	service	173.45
le feu	das Feuer	words	A1	noun	m	Allgemein	feu	172.83
la soeur	die Schwester	words	A1	noun	f	Allgemein	soeur	172.70
le cheveu	das Haar	words	A1	noun	m	Allgemein	cheveu	172.49
l'ordre	die Ordnung	words	A1	noun	m	Allgemein	ordre	171.97
le soleil	die Sonne	words	A1	noun	m	Allgemein	soleil	171.53
européen	europäisch	words	A1	adjective		Allgemein	européen	171.39
le plaisir	das Vergnügen	words	A1	noun	m	Allgemein	plaisir	171.38
installer	installieren	words	A1	verb		Allgemein	installer	171.11
organiser	organisieren	words	A1	verb		Allgemein	organiser	170.77
longue	lang	words	A1	adjective		Allgemein	longue	170.42
le jardin	der Garten	words	A1	noun	m	Allgemein	jardin	170.41
réussir	erfolgreich sein	words	A1	verb		Allgemein	réussir	170.28
l'animal	das Tier	words	A1	noun	m	Allgemein	animal	169.69
fermer	schließen	words	A1	verb		Allgemein	fermer	169.63
l'après-midi	der Nachmittag	words	A1	noun	m	Allgemein	après-midi	168.95
le musée	das Museum	words	A1	noun	m	Allgemein	musée	167.94
la photo	das Foto	words	A1	noun	f	Allgemein	photo	167.46
la peine	der Schmerz	words	A1	noun	f	Allgemein	peine	167.05
le professeur	der Lehrer	words	A1	noun	m	Allgemein	professeur	166.93
libre	frei	words	A1	adjective		Allgemein	libre	166.19
l'objet	der Gegenstand	words	A1	noun	m	Allgemein	objet	166.13
riche	reich	words	A1	adjective		Allgemein	riche	165.87
vendre	verkaufen	words	A1	verb		Allgemein	vendre	165.14
célèbre	berühmt	words	A1	adjective		Allgemein	célèbre	164.61
la télévision	das Fernsehen	words	A1	noun	f	Allgemein	télévision	164.10
propre	sauber	words	A1	adjective		Allgemein	propre	163.61
la mode	die Mode	words	A1	noun	f	Allgemein	mode	163.50
pleurer	weinen	words	A1	verb		Allgemein	pleurer	163.48
le frère	der Bruder	words	A1	noun	m	Allgemein	frère	162.22
garder	behalten	words	A1	verb		Allgemein	garder	160.55
sourire	lächeln	words	A1	verb		Allgemein	sourire	160.13
approcher	näher kommen	words	A1	verb		Allgemein	approcher	160.10
la situation	die Situation	words	A1	noun	f	Allgemein	situation	159.36
le client	der Kunde	words	A1	noun	m	Allgemein	client	159.19
le cinéma	das Kino	words	A1	noun	m	Allgemein	cinéma	158.77
prêt	bereit	words	A1	adjective		Allgemein	prêt	157.53
le retour	die Rückkehr	words	A1	noun	m	Allgemein	retour	157.26
la cuisine	die Küche	words	A1	noun	f	Allgemein	cuisine	156.73
l'époque	die Epoche	words	A1	noun	f	Allgemein	époque	156.03
partout	überall	words	A1	adverb		Allgemein	partout	155.66
refuser	ablehnen	words	A1	verb		Allgemein	refuser	155.07
le lendemain	der nächste Tag	words	A1	noun	m	Allgemein	lendemain	154.20
internet	das Internet	words	A1	noun		Allgemein	internet	153.92
apparaître	erscheinen	words	A1	verb		Allgemein	apparaître	152.18
le nombre	die Zahl	words	A1	noun	m	Allgemein	nombre	152.04
content	zufrieden	words	A1	adjective		Allgemein	content	151.91
le moyen	das Mittel	words	A1	noun	m	Allgemein	moyen	151.37
le restaurant	das Restaurant	words	A1	noun	m	Allgemein	restaurant	148.66
la liberté	die Freiheit	words	A1	noun	f	Allgemein	liberté	148.47
