verb_fr	verb_de	noun_fr	noun_de
accourir	eilen	l'aide	die Hilfe
accrocher	hängen	la clé	der Schlüssel
accrocher	hängen	le tableau	die Tafel
accrocher	hängen	le vêtement	das Kleidungsstück
accroire	glauben	l'histoire	die Geschichte
accroire	glauben	l'idée	die Idee
accroire	glauben	la rumeur	das Gerücht
accroître	vergrößern	l'efficacité	die Effizienz
accroître	vergrößern	la production	die Produktion
accroître	vergrößern	le nombre	die Zahl
accréditer	akkreditieren	l'organisme	das Organismus
accréditer	akkreditieren	l'établissement	das Unternehmen
accréditer	akkreditieren	le journaliste	der Journalist
accueillir	empfangen	l'invité	der Gast
accueillir	empfangen	le client	der Kunde
accueillir	empfangen	le visiteur	der Besucher
accumuler	ansammeln	la richesse	der Reichtum
accuser	beschuldigen	la personne	die Person
accuser	beschuldigen	le crime	das Verbrechen
accuser	beschuldigen	le fait	die Tatsache
accéder	zugreifen	l'information	die Information
accéder	zugreifen	la ressource	die Ressource
accélérer	beschleunigen	la croissance	das Wachstum
accélérer	beschleunigen	la voiture	das Auto
accélérer	beschleunigen	le processus	der Prozess
acheminer	befördern	l'information	die Information
acheminer	befördern	la marchandise	die Ware
acheminer	befördern	le colis	das Paket
acheter	kaufen	la nourriture	die Nahrung
acheter	kaufen	le produit	das Produkt
acheter	kaufen	le vêtement	das Kleidungsstück
achever	vollenden	la tâche	die Aufgabe
achever	vollenden	le projet	das Projekt
achever	vollenden	le travail	die Arbeit
acquitter	freisprechen	la décision	die Entscheidung
acquitter	freisprechen	le cas	der Fall
acquérir	erwerben	la compétence	die Kompetenz
acquérir	erwerben	la connaissance	das Wissen
actionner	betätigen	le bouton	der Knopf
actionner	betätigen	le mécanisme	der Mechanismus
activer	aktivieren	la fonction	die Funktion
activer	aktivieren	le compte	das Konto
activer	aktivieren	le service	der Dienst
actualiser	aktualisieren	l'information	die Information
actualiser	aktualisieren	la page	die Seite
adapter	anpassen	la méthode	die Methode
adapter	anpassen	le projet	das Projekt
adapter	anpassen	le texte	der Text
adhérer	beitreten	l'association	die Vereinigung
adhérer	beitreten	le groupe	der Gruppe
adhérer	beitreten	le parti	die Partei
adjuger	vergeben	le contrat	der Vertrag
adjuger	vergeben	le prix	der Preis
adjurer	dringend bitten	l'aide	die Hilfe
adjurer	dringend bitten	la réponse	die Antwort
adjurer	dringend bitten	le soutien	die Unterstützung
admettre	zugeben	l'erreur	der Fehler
admettre	zugeben	la situation	die Situation
admettre	zugeben	le fait	die Tatsache
administrer	verwalten	l'entreprise	die Firma
administrer	verwalten	le projet	das Projekt
admirer	bewundern	l'œuvre	das Werk
admirer	bewundern	le paysage	die Landschaft
admirer	bewundern	le talent	das Talent
adonner	widmen	l'énergie	die Energie
adonner	widmen	temps	die Zeit
adopter	adoptieren	l'enfant	das Kind
adopter	adoptieren	l'habitude	die Gewohnheit
adopter	adoptieren	la loi	das Gesetz
adorer	lieben	la musique	die Musik
adorer	lieben	la nourriture	die Nahrung
adorer	lieben	le film	der Film
adosser	anlehnen	l'arbre	der Baum
adosser	anlehnen	l'objet	der Gegenstand
adosser	anlehnen	le mur	die Wand
adresser	adressieren	la demande	die Anfrage
adresser	adressieren	la lettre	der Brief
adresser	adressieren	le message	die Nachricht
aduler	vergöttern	l'artiste	der Künstler
aduler	vergöttern	l'idole	das Idol
aduler	vergöttern	la personnalité	die Persönlichkeit
adultérer	verfälschen	l'aliment	das Lebensmittel
adultérer	verfälschen	la substance	die Substanz
adultérer	verfälschen	le produit	das Produkt
advenir	geschehen	l'événement	das Ereignis
advenir	geschehen	la situation	die Situation
advenir	geschehen	un changement	die Veränderung
affaiblir	schwächen	l'influence	der Einfluss
affaiblir	schwächen	la force	die Kraft
affaiblir	schwächen	la santé	die Gesundheit
affairer	beschäftigen	la personne	die Person
affairer	beschäftigen	le projet	das Projekt
affairer	beschäftigen	le travail	die Arbeit
affamer	verhungern	l'animal	das Tier
affamer	verhungern	la personne	die Person
affamer	verhungern	la population	die Bevölkerung
affecter	beeinflussen	la décision	die Entscheidung
affecter	beeinflussen	la personne	die Person
affecter	beeinflussen	la situation	die Situation
affectionner	lieben	l'animal	das Tier
affectionner	lieben	la chose	die Sache
affectionner	lieben	la personne	die Person
afficher	anzeigen	l'information	die Information
afficher	anzeigen	le message	die Nachricht
afficher	anzeigen	le prix	der Preis
affilier	anschließen	l'organisation	die Organisation
affilier	anschließen	le groupe	der Gruppe
affilier	anschließen	le membre	das Mitglied
affiner	verfeinern	le goût	der Geschmack
affiner	verfeinern	le processus	der Prozess
affirmer	behaupten	l'opinion	die Meinung
affirmer	behaupten	la vérité	die Wahrheit
affirmer	behaupten	le fait	die Tatsache
affliger	betrüben	l'événement	das Ereignis
affliger	betrüben	la personne	die Person
affliger	betrüben	la situation	die Situation
affluer	strömen	l'eau	das Wasser
affluer	strömen	les gens	die Leute
affoler	verwirren	l'esprit	der Geist
affoler	verwirren	la personne	die Person
affoler	verwirren	la situation	die Situation
affranchir	befreien	l'animal	das Tier
affranchir	befreien	l'esclave	der Sklave
affranchir	befreien	le pays	das Land
affronter	konfrontieren	la situation	die Situation
affronter	konfrontieren	le défi	die Herausforderung
affronter	konfrontieren	le problème	das Problem
agacer	ärgern	l'ami	der Freund
agacer	ärgern	l'enfant	das Kind
agacer	ärgern	le collègue	der Kollege
aggraver	verschlimmern	la maladie	die Krankheit
aggraver	verschlimmern	la situation	die Situation
aggraver	verschlimmern	le problème	das Problem
agir	handeln	la personne	die Person
agir	handeln	la situation	die Situation
agir	handeln	le moment	der Moment
agiter	schütteln	la boisson	das Getränk
agiter	schütteln	la main	die Hand
agiter	schütteln	le drapeau	die Flagge
agoniser	agoniere	l'animal	das Tier
agoniser	agoniere	la personne	die Person
agoniser	agoniere	la situation	die Situation
agrandir	vergrößern	l'espace	der Raum
agrandir	vergrößern	l'image	das Bild
agrandir	vergrößern	la chambre	das Zimmer
agresser	angreifen	l'ennemi	der Feind
agresser	angreifen	la personne	die Person
agresser	angreifen	la situation	die Situation
agréer	zustimmen	l'avis	die Meinung
agréer	zustimmen	la demande	die Anfrage
agréer	zustimmen	une proposition	der Vorschlag
agrémenter	verzieren	l'événement	das Ereignis
agrémenter	verzieren	la décoration	die Dekoration
agrémenter	verzieren	le plat	das Gericht
aider	helfen	l'ami	der Freund
aider	helfen	l'enfant	das Kind
aider	helfen	la personne	die Person
aiguiller	leiten	le flux	der Fluss
aiguiller	leiten	le train	der Zug
aiguiser	schärfen	le couteau	das Messer
aiguiser	schärfen	le crayon	der Bleistift
aiguiser	schärfen	un outil	das Werkzeug
ailler	fliegen	l'avion	das Flugzeug
ailler	fliegen	l'insecte	das Insekt
ailler	fliegen	l'oiseau	der Vogel
aimer	lieben	la musique	die Musik
aimer	lieben	la personne	die Person
aimer	lieben	le film	der Film
ajouter	hinzufügen	l'information	die Information
ajouter	hinzufügen	l'élément	das Element
ajouter	hinzufügen	la quantité	die Menge
alarmer	alarmieren	la personne	die Person
alarmer	alarmieren	la situation	die Situation
alerter	warnen	le danger	die Gefahr
alerter	warnen	le public	das Publikum
aligner	ausrichten	l'équipe	die Mannschaft
alimenter	versorgen	l'animal	das Tier
alimenter	versorgen	l'enfant	das Kind
alimenter	versorgen	la machine	die Maschine
aliéner	entfremden	la communauté	die Gemeinschaft
aliéner	entfremden	la personne	die Person
aliéner	entfremden	le groupe	der Gruppe
aller	gehen	à l'école	die Schule
aller	gehen	à la maison	das Haus
aller	gehen	au magasin	der Laden
allonger	verlängern	le chemin	der Weg
allonger	verlängern	le vêtement	das Kleidungsstück
allonger	verlängern	temps	die Zeit
allouer	zuteilen	le budget	das Budget
allouer	zuteilen	temps	die Zeit
allumer	anzünden	la lampe	die Lampe
allumer	anzünden	le feu	das Feuer
alléger	erleichtern	la charge	die Last
alléger	erleichtern	le poids	das Gewicht
alléger	erleichtern	le travail	die Arbeit
altérer	verändern	l'état	der Zustand
altérer	verändern	la couleur	die Farbe
altérer	verändern	le goût	der Geschmack
amadouer	beschwichtigen	l'animal	das Tier
amadouer	beschwichtigen	l'enfant	das Kind
amadouer	beschwichtigen	la situation	die Situation
amaigrir	abnehmen	la personne	die Person
amaigrir	abnehmen	le poids	das Gewicht
amaigrir	abnehmen	le régime	die Diät
ambrer	bernsteinfarben	l'objet	der Gegenstand
ambrer	bernsteinfarben	la couleur	die Farbe
amener	bringen	l'idée	die Idee
amener	bringen	la chose	die Sache
amener	bringen	la personne	die Person
amollir	erweichen	la cuisine	die Küche
amollir	erweichen	la matière	das Material
amollir	erweichen	le beurre	die Butter
amorcer	einleiten	la discussion	die Diskussion
amorcer	einleiten	le processus	der Prozess
amorcer	einleiten	un changement	die Veränderung
amplifier	verstärken	le message	die Nachricht
amplifier	verstärken	le signal	das Signal
amputer	amputieren	la jambe	das Bein
amputer	amputieren	le bras	der Arm
amputer	amputieren	le membre	das Mitglied
amuser	amüsieren	l'enfant	das Kind
amuser	amüsieren	le public	das Publikum
amuser	amüsieren	le spectacle	das Schauspiel
améliorer	verbessern	la performance	die Leistung
améliorer	verbessern	la qualité	die Qualität
améliorer	verbessern	la situation	die Situation
aménager	einrichten	la maison	das Haus
aménager	einrichten	le bureau	das Büro
aménager	einrichten	le jardin	der Garten
américaniser	amerikanisieren	la culture	die Kultur
américaniser	amerikanisieren	la mode	die Mode
américaniser	amerikanisieren	le produit	das Produkt
analyser	analysieren	la situation	die Situation
analyser	analysieren	le résultat	das Ergebnis
ancrer	verankern	l'idée	die Idee
ancrer	verankern	la tradition	die Tradition
ancrer	verankern	la valeur	der Wert
anesthésier	betäuben	la douleur	der Schmerz
anesthésier	betäuben	la zone	die Zone
anesthésier	betäuben	le patient	der Patient
angoisser	ängstigen	l'enfant	das Kind
angoisser	ängstigen	la personne	die Person
angoisser	ängstigen	la situation	die Situation
animer	beleben	l'événement	das Ereignis
animer	beleben	la discussion	die Diskussion
animer	beleben	le groupe	der Gruppe
annexer	annektieren	la province	die Provinz
annexer	annektieren	la région	die Region
annexer	annektieren	le territoire	das Gebiet
annoncer	ankündigen	l'événement	das Ereignis
annoncer	ankündigen	la nouvelle	die Nachricht
annoncer	ankündigen	le résultat	das Ergebnis
annuler	stornieren	l'événement	das Ereignis
annuler	stornieren	la commande	die Bestellung
annuler	stornieren	la réservation	die Reservierung
anticiper	vorwegnehmen	l'événement	das Ereignis
anticiper	vorwegnehmen	la réaction	die Reaktion
anticiper	vorwegnehmen	la situation	die Situation
anéantir	vernichten	l'ennemi	der Feind
anéantir	vernichten	la menace	die Bedrohung
anéantir	vernichten	la ressource	die Ressource
apaiser	beruhigen	l'esprit	der Geist
apaiser	beruhigen	la tension	die Spannung
apaiser	beruhigen	le conflit	der Konflikt
apercevoir	erblicken	l'objet	der Gegenstand
apercevoir	erblicken	la silhouette	die Silhouette
apercevoir	erblicken	le paysage	die Landschaft
apeurer	ängstigen	l'animal	das Tier
apeurer	ängstigen	l'enfant	das Kind
apeurer	ängstigen	la personne	die Person
aplanir	ebnen	la route	die Straße
aplanir	ebnen	la surface	die Oberfläche
aplanir	ebnen	le terrain	das Gelände
apparaître	erscheinen	la lumière	das Licht
apparaître	erscheinen	la personne	die Person
apparaître	erscheinen	le signe	das Zeichen
apparenté	verwandt machen	la famille	die Familie
apparenté	verwandt machen	le concept	das Konzept
apparenté	verwandt machen	le groupe	der Gruppe
appartenir	gehören	l'organisation	die Organisation
appartenir	gehören	la famille	die Familie
appartenir	gehören	le groupe	der Gruppe
appauvrir	verarmen	la population	die Bevölkerung
appauvrir	verarmen	la situation	die Situation
appeler	rufen	l'ami	der Freund
appeler	rufen	le nom	der Name
appeler	rufen	le numéro	die Nummer
applaudir	applaudieren	l'artiste	der Künstler
applaudir	applaudieren	la performance	die Leistung
applaudir	applaudieren	le spectacle	das Schauspiel
appliquer	anwenden	la méthode	die Methode
appliquer	anwenden	la règle	die Regel
apporter	bringen	l'objet	der Gegenstand
apporter	bringen	la nourriture	die Nahrung
apporter	bringen	le cadeau	das Geschenk
apposer	anbringen	l'étiquette	das Etikett
apposer	anbringen	la signature	die Unterschrift
apposer	anbringen	le tampon	der Stempel
apprendre	lernen	la langue	die Sprache
apprendre	lernen	la leçon	die Lektion
apprivoiser	zähmen	l'animal	das Tier
apprivoiser	zähmen	l'environnement	die Umwelt
apprivoiser	zähmen	la situation	die Situation
approcher	näher kommen	l'animal	das Tier
approcher	näher kommen	la maison	das Haus
approcher	näher kommen	la personne	die Person
approfondir	vertiefen	l'étude	das Studium
approfondir	vertiefen	la connaissance	das Wissen
approfondir	vertiefen	le sujet	das Thema
approprier	aneignen	l'espace	der Raum
approuver	genehmigen	la demande	die Anfrage
approuver	genehmigen	la décision	die Entscheidung
approuver	genehmigen	le projet	das Projekt
approvisionner	liefern	la marchandise	die Ware
approvisionner	liefern	le produit	das Produkt
approvisionner	liefern	le stock	der Bestand
apprécier	schätzen	l'art	die Kunst
apprécier	schätzen	la situation	die Situation
apprécier	schätzen	le moment	der Moment
appréhender	fürchten	l'échec	der Misserfolg
appréhender	fürchten	la situation	die Situation
appréhender	fürchten	le danger	die Gefahr
apprêter	vorbereiten	le dossier	die Akte
apprêter	vorbereiten	le repas	die Mahlzeit
appuyer	unterstützen	la demande	die Anfrage
appuyer	unterstützen	la personne	die Person
appuyer	unterstützen	le projet	das Projekt
arborer	zeigen	le drapeau	die Flagge
arborer	zeigen	le style	der Stil
arguer	argumentieren	l'opinion	die Meinung
arguer	argumentieren	la raison	der Grund
arguer	argumentieren	le point	der Punkt
argumenter	argumentieren	l'idée	die Idee
argumenter	argumentieren	la thèse	die These
argumenter	argumentieren	le point	der Punkt
armer	bewaffnen	homme	der Mann
armer	bewaffnen	la voiture	das Auto
armer	bewaffnen	le soldat	der Soldat
aromatiser	aromatisieren	la boisson	das Getränk
aromatiser	aromatisieren	le dessert	der Nachtisch
aromatiser	aromatisieren	le plat	das Gericht
arpenter	abstecken	le chemin	der Weg
arpenter	abstecken	le parcours	der Weg
arpenter	abstecken	le terrain	das Gelände
arracher	reißen	l'objet	der Gegenstand
arracher	reißen	la plante	die Pflanze
arracher	reißen	le papier	das Papier
arranger	arrangieren	la fête	das Fest
arranger	arrangieren	la réunion	das Treffen
arriver	ankommen	à l'heure	die Stunde
arriver	ankommen	un jour	der Tag
arriver	ankommen	au moment	der Moment
arroger	anmaßen	l'autorité	die Autorität
arroger	anmaßen	le droit	das Recht
arrondir	abrunden	la forme	die Form
arrondir	abrunden	le coin	die Ecke
arrondir	abrunden	le nombre	die Zahl
arroser	gießen	la fleur	die Blume
arroser	gießen	la plante	die Pflanze
arroser	gießen	le jardin	der Garten
arrêter	anhalten	la voiture	das Auto
arrêter	anhalten	le mouvement	die Bewegung
arrêter	anhalten	temps	die Zeit
articuler	artikulieren	l'idée	die Idee
articuler	artikulieren	la phrase	der Satz
artistiquer	künstlerisch gestalten	l'espace	der Raum
artistiquer	künstlerisch gestalten	l'œuvre	das Werk
artistiquer	künstlerisch gestalten	le projet	das Projekt
aspirer	einatmen	l'air	die Luft
aspirer	einatmen	la fumée	der Rauch
aspirer	einatmen	une odeur	der Geruch
assassiner	ermorden	la personne	die Person
assassiner	ermorden	la victime	das Opfer
assassiner	ermorden	le crime	das Verbrechen
assavoir	wissen	l'information	die Information
assavoir	wissen	la réponse	die Antwort
assavoir	wissen	le fait	die Tatsache
assembler	zusammenbauen	l'équipement	die Ausrüstung
assembler	zusammenbauen	la pièce	das Stück
assembler	zusammenbauen	le meuble	das Möbel
asseoir	sitzen	la chaise	der Stuhl
asseoir	sitzen	la table	der Tisch
asseoir	sitzen	le canapé	das Sofa
asservir	unterwerfen	l'individu	das Individuum
asservir	unterwerfen	la nation	die Nation
asservir	unterwerfen	le peuple	das Volk
assigner	zuweisen	la responsabilité	die Verantwortung
assigner	zuweisen	la tâche	die Aufgabe
assigner	zuweisen	le travail	die Arbeit
assimiler	asimilieren	l'information	die Information
assimiler	asimilieren	la connaissance	das Wissen
assimiler	asimilieren	la culture	die Kultur
assister	teilnehmen	à l'événement	das Ereignis
assister	teilnehmen	à la réunion	das Treffen
assiéger	belagern	l'ennemi	der Feind
assiéger	belagern	la forteresse	die Festung
assiéger	belagern	la ville	die Stadt
associer	assoziieren	l'idée	die Idee
associer	assoziieren	la personne	die Person
associer	assoziieren	le groupe	der Gruppe
assombrir	dunkler werden	la chambre	das Zimmer
assombrir	dunkler werden	la couleur	die Farbe
assombrir	dunkler werden	le ciel	der Himmel
assommer	erschlagen	l'animal	das Tier
assommer	erschlagen	l'objet	der Gegenstand
assommer	erschlagen	la personne	die Person
assortir	abstimmen	l'accessoire	das Zubehör
assortir	abstimmen	la couleur	die Farbe
assortir	abstimmen	le vêtement	das Kleidungsstück
assoupir	einschläfern	l'animal	das Tier
assoupir	einschläfern	l'enfant	das Kind
assoupir	einschläfern	la personne	die Person
assouplir	lockern	la règle	die Regel
assouplir	lockern	le contrat	der Vertrag
assouplir	lockern	le tissu	der Stoff
assouvir	stillen	l'envie	der Wunsch
assouvir	stillen	le besoin	das Bedürfnis
assouvir	stillen	le désir	der Wunsch
assujettir	unterwerfen	l'individu	das Individuum
assujettir	unterwerfen	la population	die Bevölkerung
assujettir	unterwerfen	le groupe	der Gruppe
assumer	übernehmen	la charge	die Last
assumer	übernehmen	la responsabilité	die Verantwortung
assumer	übernehmen	le rôle	die Rolle
assurer	sichern	la situation	die Situation
assurer	sichern	la sécurité	die Sicherheit
assurer	sichern	le service	der Dienst
assécher	austrocknen	la plante	die Pflanze
assécher	austrocknen	la rivière	der Fluss
assécher	austrocknen	la terre	die Erde
astiquer	polieren	l'objet	der Gegenstand
astiquer	polieren	la surface	die Oberfläche
astiquer	polieren	le meuble	das Möbel
astreindre	zwingen	l'environnement	die Umwelt
astreindre	zwingen	la personne	die Person
astreindre	zwingen	le groupe	der Gruppe
attabler	anlegen	la table	der Tisch
attabler	anlegen	le document	das Dokument
attabler	anlegen	le projet	das Projekt
attacher	befestigen	l'étiquette	das Etikett
attacher	befestigen	la ceinture	der Gürtel
attacher	befestigen	la corde	das Seil
attaquer	angreifen	l'ennemi	der Feind
attaquer	angreifen	la situation	die Situation
attaquer	angreifen	le problème	das Problem
attarder	verzögern	la décision	die Entscheidung
attarder	verzögern	la réunion	das Treffen
attarder	verzögern	le moment	der Moment
atteindre	erreichen	l'objectif	das Ziel
atteindre	erreichen	la destination	das Ziel
atteindre	erreichen	le niveau	das Niveau
attendre	warten	la réponse	die Antwort
attendre	warten	le moment	der Moment
attendre	warten	un bus	der Bus
attenter	attentieren	l'action	die Handlung
attenter	attentieren	l'attaque	der Angriff
attenter	attentieren	le plan	der Plan
attentionner	aufmerksam machen	l'enfant	das Kind
attentionner	aufmerksam machen	la personne	die Person
attentionner	aufmerksam machen	la situation	die Situation
atterrir	landen	l'avion	das Flugzeug
atterrir	landen	l'hélicoptère	der Hubschrauber
atterrir	landen	la navette	der Shuttle
attester	attestieren	la preuve	der Beweis
attester	attestieren	le document	das Dokument
attester	attestieren	le témoignage	das Zeugnis
attirer	anziehen	l'attention	die Aufmerksamkeit
attirer	anziehen	l'intérêt	das Interesse
attirer	anziehen	le client	der Kunde
attiser	anheizen	l'intérêt	das Interesse
attiser	anheizen	la tension	die Spannung
attiser	anheizen	le feu	das Feuer
attraper	fangen	l'insecte	das Insekt
attraper	fangen	le ballon	der Ball
attraper	fangen	le poisson	der Fisch
attribuer	zuweisen	la tâche	die Aufgabe
attribuer	zuweisen	le prix	der Preis
attrister	trauriger machen	l'événement	das Ereignis
attrister	trauriger machen	la personne	die Person
attrister	trauriger machen	la situation	die Situation
atténuer	mildern	l'impact	der Einfluss
atténuer	mildern	la douleur	der Schmerz
atténuer	mildern	le risque	das Risiko
augmenter	erhöhen	le prix	der Preis
augmenter	erhöhen	le volume	das Volumen
augmenter	erhöhen	un salaire	das Gehalt
augurer	ahnen	l'événement	das Ereignis
augurer	ahnen	le signe	das Zeichen
auréoler	umkränzen	l'image	das Bild
auréoler	umkränzen	la personne	die Person
auréoler	umkränzen	la réputation	der Ruf
authentifier	authentifizieren	la signature	die Unterschrift
authentifier	authentifizieren	le document	das Dokument
authentifier	authentifizieren	le produit	das Produkt
autoriser	erlauben	l'accès	der Zugang
autoriser	erlauben	l'action	die Handlung
autoriser	erlauben	la personne	die Person
avaler	schlucken	la boisson	das Getränk
avaler	schlucken	la nourriture	die Nahrung
avaler	schlucken	le médicament	das Medikament
avancer	vorankommen	l'étape	die Etappe
avancer	vorankommen	le projet	das Projekt
avancer	vorankommen	le travail	die Arbeit
aventurer	abenteuerlich	l'expérience	die Erfahrung
aventurer	abenteuerlich	l'idée	die Idee
aventurer	abenteuerlich	le voyage	die Reise
avertir	warnen	la personne	die Person
avertir	warnen	le danger	die Gefahr
avertir	warnen	le risque	das Risiko
aveugler	blenden	la lumière	das Licht
aveugler	blenden	le flash	der Blitz
aveugler	blenden	le soleil	die Sonne
aviser	benachrichtigen	la personne	die Person
aviser	benachrichtigen	le client	der Kunde
aviser	benachrichtigen	le collègue	der Kollege
aviver	beleben	l'émotion	die Emotion
aviver	beleben	la couleur	die Farbe
avoir	haben	la maison	das Haus
avoir	haben	la voiture	das Auto
avoir	haben	le chien	der Hund
avouer	zugeben	l'erreur	der Fehler
avouer	zugeben	le secret	das Geheimnis
avouer	zugeben	le sentiment	das Gefühl
avérer	sich erweisen	la réalité	die Realität
avérer	sich erweisen	la vérité	die Wahrheit
avérer	sich erweisen	le fait	die Tatsache
axer	ausrichten	la discussion	die Diskussion
axer	ausrichten	la stratégie	die Strategie
axer	ausrichten	le projet	das Projekt
aérer	lüften	l'espace	der Raum
aérer	lüften	la chambre	das Zimmer
aérer	lüften	le vêtement	das Kleidungsstück
baguer	verloben	la bague	der Ring
baguer	verloben	la personne	die Person
baguer	verloben	le partenaire	der Partner
baigner	baden	l'enfant	das Kind
baigner	baden	le bassin	der Becken
baigner	baden	le chien	der Hund
baisser	senken	la voix	die Stimme
baisser	senken	le niveau	das Niveau
baisser	senken	le prix	der Preis
balader	spazieren	l'ami	der Freund
balader	spazieren	l'enfant	das Kind
balader	spazieren	le chien	der Hund
balancer	wiegen	l'objet	der Gegenstand
balancer	wiegen	la charge	die Last
balancer	wiegen	le poids	das Gewicht
balayer	fegen	la salle	der Raum
balayer	fegen	le sol	der Boden
baliser	markieren	la route	die Straße
baliser	markieren	le chemin	der Weg
banaliser	banalisieren	l'événement	das Ereignis
banaliser	banalisieren	la situation	die Situation
banaliser	banalisieren	le problème	das Problem
bander	binden	l'objet	der Gegenstand
bander	binden	la blessure	die Verletzung
bander	binden	le tissu	der Stoff
bannir	verbannen	l'idée	die Idee
bannir	verbannen	la personne	die Person
bannir	verbannen	la pratique	die Praxis
banquer	bankieren	l'argent	das Geld
banquer	bankieren	la transaction	die Transaktion
banquer	bankieren	le compte	das Konto
baptiser	taufen	l'enfant	das Kind
baptiser	taufen	la personne	die Person
baptiser	taufen	le rituel	das Ritual
barbeler	verwirren	l'esprit	der Geist
barder	verzieren	l'objet	der Gegenstand
barder	verzieren	la décoration	die Dekoration
barder	verzieren	le plat	das Gericht
barricader	barrikadieren	la fenêtre	das Fenster
barricader	barrikadieren	la porte	die Tür
barricader	barrikadieren	la rue	die Straße
basaner	gerben	la peau	die Haut
basaner	gerben	le cuir	das Leder
basaner	gerben	le matériau	das Material
basculer	kippen	l'objet	der Gegenstand
basculer	kippen	la table	der Tisch
baser	basieren	l'analyse	die Analyse
baser	basieren	la décision	die Entscheidung
baser	basieren	la théorie	die Theorie
batailler	kämpfen	la bataille	die Schlacht
batailler	kämpfen	la guerre	der Krieg
batailler	kämpfen	le conflit	der Konflikt
battre	schlagen	l'ennemi	der Feind
battre	schlagen	l'œuf	das Ei
battre	schlagen	le record	der Rekord
bavarder	plaudern	l'ami	der Freund
bavarder	plaudern	la conversation	das Gespräch
bavarder	plaudern	le sujet	das Thema
