sentence_fr	sentence_de	blank_word	distractors	verb_fr	noun_fr
Elle est absente à l'événement.	Sie fehlt bei dem Ereignis.	à	de,sur,avec	absenter	l'événement
Il filtre l'huile.	Er filtert das Öl.	l'	une,la,de	filtrer	l'huile
Nous raccordons le câble.	Wir schließen das Kabel an.	le	un,la,de	raccorder	le câble
Je cachette la lettre.	Ich versiegle den Brief.	la	une,de,du	cacheter	la lettre
Ils marginalisent le groupe.	Sie marginalisieren die Gruppe.	le	un,la,de	marginaliser	le groupe
Elle apprend la langue.	Sie lernt die Sprache.	la	une,de,du	apprendre	la langue
Il dévisse l'objet.	Er schraubt den Gegenstand ab.	l'	une,la,de	dévisser	l'objet
Elle essuie la table.	Sie wischt den Tisch ab.	la	une,de,du	essuyer	la table
Il estampille le document.	Er stempelt das Dokument.	le	un,la,de	estampiller	le document
Nous filons au train.	Wir gehen schnell zum Zug.	au	à,de,sur	filer	le train
Il stupéfie l'audience.	Er verblüfft das Publikum.	l'	une,la,de	stupéfaire	l'audience
Elle pend le vêtement.	Sie hängt das Kleidungsstück auf.	le	un,la,de	pendre	le vêtement
Il perfectionne le produit.	Er verbessert das Produkt.	le	un,la,de	perfectionner	le produit
Nous cherchons la solution.	Wir suchen die Lösung.	la	une,de,du	chercher	la solution
J'accole l'image sur le mur.	Ich klebe das Bild an die Wand.	sur	à,dans,avec	accoler	l'image
Je replie le papier en deux.	Ich falte das Papier in zwei.	en	à,sur,avec	replier	le papier
Il offense la personne ici.	Er beleidigt die Person hier.	la	une,de,et	offenser	la personne
Nous raffinons le produit pour vous.	Wir verfeinern das Produkt für Sie.	le	un,de,dans	raffiner	le produit
Elle confirme l'information au patron.	Sie bestätigt die Information beim Chef.	l'	une,de,sur	confirmer	l'information
J'urine dans la toilette.	Ich uriniere in die Toilette.	dans	à,sur,avec	uriner	la toilette
Ils réglementent la norme pour tous.	Sie regeln die Norm für alle.	la	une,de,et	réglementer	la norme
Nous dénommons le lieu ici.	Wir benennen den Ort hier.	le	un,de,et	dénommer	le lieu
Vous bénéficiez du service aujourd'hui.	Sie profitieren heute von dem Dienst.	du	de,le,à	bénéficier	le service
Ils dégradent la qualité du produit.	Sie verschlechtern die Qualität des Produkts.	la	une,de,et	dégrader	la qualité
Je forme le groupe pour le projet.	Ich forme die Gruppe für das Projekt.	le	un,de,et	former	le groupe
Nous renouvelons le permis chaque année.	Wir erneuern die Erlaubnis jedes Jahr.	le	un,de,et	renouveler	le permis
Il cartonne le produit pour la vente.	Er verpackt das Produkt für den Verkauf.	le	un,de,et	cartonner	le produit
Elle ironise sur la situation actuelle.	Sie ironisiert über die aktuelle Situation.	sur	à,de,avec	ironiser	la situation
J'avoue le secret à mon ami.	Ich gebe das Geheimnis meinem Freund zu.	le	un,de,et	avouer	le secret
Il presse le tissu pour le repasser.	Er drückt den Stoff zum Bügeln.	le	un,de,et	presser	le tissu
Je prête le livre à ma sœur.	Ich leihe das Buch meiner Schwester.	à	de,dans,sur	prêter	le livre
Elle réprimande l'élève en classe.	Sie tadelt den Schüler in der Klasse.	l'	une,de,et	réprimander	l'élève
Ils épuisent l'énergie du moteur.	Sie erschöpfen die Energie des Motors.	l'	une,de,et	épuiser	l'énergie
Il corrompt le fonctionnaire avec de l'argent.	Er besticht den Beamten mit Geld.	le	un,de,et	corrompre	le fonctionnaire
Je sous-loue la chambre à un étudiant.	Ich untervermiete das Zimmer an einen Studenten.	à	de,dans,sur	sous-louer	la chambre
Vous bénéficiez de l'aide gratuite.	Sie profitieren von der kostenlosen Hilfe.	de	du,le,à	bénéficier	l'aide
Je nourris l'enfant avec du lait.	Ich ernähre das Kind mit Milch.	l'	un,de,et	nourrir	l'enfant
Il coupe le papier en morceaux.	Er schneidet das Papier in Stücke.	le	un,de,et	couper	le papier
Nous discutons du problème ensemble.	Wir diskutieren das Problem zusammen.	du	de,le,à	discuter	le problème
Elle reçoit le message par email.	Sie erhält die Nachricht per E-Mail.	le	un,de,et	recevoir	le message
Je vais à la maison maintenant.	Ich gehe jetzt nach Hause.	à	de,dans,sur	aller	la maison
L'animal sautille dans le jardin.	Das Tier hüpft im Garten.	dans	à,sur,avec	sautiller	l'animal
L'eau inonde la chambre maintenant.	Das Wasser überflutet jetzt das Zimmer.	la	une,de,et	inonder	la chambre
Je parrains l'association pour les enfants.	Ich patroniere die Vereinigung für die Kinder.	l'	une,de,et	parrainer	l'association
J'engage l'équipe pour le match.	Ich engagiere die Mannschaft für das Spiel.	pour	à,de,avec	engager	l'équipe
Je raconte l'histoire à mes amis.	Ich erzähle die Geschichte meinen Freunden.	à	de,sur,pour	raconter	l'histoire
La partie consiste en un jeu.	Der Teil besteht aus einem Spiel.	en	à,de,sur	consister	la partie
Il endette la personne avec ses choix.	Er verschuldet die Person mit seinen Entscheidungen.	avec	à,de,pour	endetter	la personne
Elle évaser la base du vase.	Sie verbreitert die Basis der Vase.	du	à,de,sur	évaser	la base
Nous impliquons la personne dans le projet.	Wir beziehen die Person in das Projekt ein.	dans	à,de,pour	impliquer	la personne
Je jure la loi devant le juge.	Ich schwöre das Gesetz vor dem Richter.	devant	à,de,sur	jurer	la loi
Cela coûte le prix de la vie.	Das kostet den Preis des Lebens.	de	à,sur,pour	coûter	le prix
Elle affame la personne dans la rue.	Sie verhungert die Person auf der Straße.	dans	à,de,pour	affamer	la personne
Le cheval hennit à la monture.	Das Pferd wiehert zur Fassung.	à	de,sur,avec	hennir	la monture
Nous encastrons l'élément dans le mur.	Wir bauen das Element in die Wand ein.	dans	à,de,sur	encastrer	l'élément
Il tasse le sable dans le seau.	Er presst den Sand in den Eimer.	dans	à,de,sur	tasser	le sable
Elle entrouvre la porte doucement.	Sie lehnt die Tür sanft an.	la	à,de,sur	entrouvrir	la porte
Nous profitons de l'offre spéciale.	Wir profitieren vom speziellen Angebot.	de	à,sur,pour	profiter	l'offre
Il adjure le soutien de ses amis.	Er bittet dringend um die Unterstützung seiner Freunde.	de	à,sur,pour	adjurer	le soutien
Elle nantit la propriété avec des meubles.	Sie stattet das Eigentum mit Möbeln aus.	avec	à,de,pour	nantir	la propriété
Ils bombardent la cible avec précision.	Sie bombardieren das Ziel mit Präzision.	avec	à,de,sur	bombarder	la cible
Il double l'effort pour réussir.	Er verdoppelt den Aufwand, um erfolgreich zu sein.	pour	à,de,avec	doubler	l'effort
Elle bute contre le mur en courant.	Sie stößt beim Laufen gegen die Wand.	contre	à,de,sur	buter	le mur
Nous ventilons l'espace pour aérer.	Wir belüften den Raum, um frische Luft zu bekommen.	pour	à,de,avec	ventiler	l'espace
Il répare le dommage sur la voiture.	Er repariert den Schaden am Auto.	sur	à,de,pour	réparer	le dommage
Je rame sur la rivière calme.	Ich rudere auf dem ruhigen Fluss.	sur	à,de,dans	ramer	la rivière
Elle emplit la bouteille d'eau.	Sie füllt die Flasche mit Wasser.	d'	à,de,sur	emplir	la bouteille
Elle s'évanouit devant la femme.	Sie wird ohnmächtig vor der Frau.	devant	à,de,sur	évanouir	la femme
Ils industrialisent le processus lentement.	Sie industrialisieren den Prozess langsam.	le	à,de,sur	industrialiser	le processus
Elle harmonise la musique avec soin.	Sie harmonisiert die Musik sorgfältig.	avec	à,de,pour	harmoniser	la musique
Il boude la situation actuelle.	Er schmollt über die aktuelle Situation.	la	à,de,sur	bouder	la situation
Elle délier le contrat avec soin.	Sie löst den Vertrag sorgfältig.	le	à,de,sur	délier	le contrat
Nous nettoyons la maison chaque semaine.	Wir reinigen das Haus jede Woche.	la	à,de,sur	nettoyer	la maison
Je vais impréciser l'information.	Ich werde die Information unbestimmen.	l'	de,une,le	impréciser	l'information
Nous allons construire le mur.	Wir werden die Wand bauen.	le	un,dans,sur	construire	le mur
Elle veut venger le tort.	Sie will das Unrecht rächen.	le	un,de,avec	venger	le tort
Ils vont parfaire le travail.	Sie werden die Arbeit vollenden.	le	une,de,dans	parfaire	le travail
Je veux enhardir la personne.	Ich möchte die Person ermutigen.	la	une,de,sur	enhardir	la personne
Nous devons fidéliser le partenaire.	Wir müssen den Partner bindend machen.	le	un,de,la	fidéliser	le partenaire
Ils veulent rallier le partisan.	Sie wollen den Anhänger vereinen.	le	un,de,la	rallier	le partisan
Je vais vendre la maison.	Ich werde das Haus verkaufen.	la	une,de,le	vendre	la maison
Il ne faut pas entacher la réputation.	Man darf den Ruf nicht beschmutzen.	la	un,de,le	entacher	la réputation
Elle veut friser la mèche.	Sie möchte den Docht locken.	la	un,de,le	friser	la mèche
Nous allons inventer l'idée.	Wir werden die Idee erfinden.	l'	une,de,le	inventer	l'idée
Je vais aller au magasin.	Ich werde zum Laden gehen.	au	à,dans,sur	aller	le magasin
Ils veulent recruter le candidat.	Sie wollen den Kandidaten rekrutieren.	le	un,de,la	recruter	le candidat
Nous devons envisager la possibilité.	Wir müssen die Möglichkeit in Betracht ziehen.	la	une,de,le	envisager	la possibilité
Je vais actualiser l'information.	Ich werde die Information aktualisieren.	l'	une,de,le	actualiser	l'information
Il faut motoriser la machine.	Man muss die Maschine motorisieren.	la	une,de,le	motoriser	la machine
Je vais refiler l'information.	Ich werde die Information weitergeben.	l'	une,de,le	refiler	l'information
Il faut estimer le temps.	Man muss die Zeit schätzen.	le	un,de,la	estimer	temps
Elle veut persuader le client.	Sie möchte den Kunden überzeugen.	le	un,de,la	persuader	le client
Il ne faut pas vexer le commentaire.	Man darf den Kommentar nicht ärgern.	le	un,de,la	vexer	le commentaire
L'enfant va naître bientôt.	Das Kind wird bald geboren.	l'	un,de,la	naître	l'enfant
Je vais trimer jour et nuit.	Ich werde Tag und Nacht schuften.	et	ou,de,sur	trimer	jour
Nous devons légaliser la substance.	Wir müssen die Substanz legalisieren.	la	une,de,le	légaliser	la substance
Je vais numériser le document.	Ich werde das Dokument digitalisieren.	le	un,de,la	numériser	le document
Il faut cuivrer l'objet.	Man muss den Gegenstand kupfern.	l'	un,de,la	cuivrer	l'objet
Le chien va aboyer.	Der Hund wird bellen.	le	un,de,la	aboyer	l'animal
Il veut proférer la phrase.	Er möchte den Satz aussprechen.	la	une,de,le	proférer	la phrase
Je vais aviser le collègue.	Ich werde den Kollegen benachrichtigen.	le	un,de,la	aviser	le collègue
Nous devons guetter l'occasion.	Wir müssen die Gelegenheit lauern.	l'	une,de,le	guetter	l'occasion
Elle veut parfumer la peau.	Sie möchte die Haut parfümieren.	la	une,de,le	parfumer	la peau
Je flûte la mélodie.	Ich flöte die Melodie.	la	une,de,du	flûter	la mélodie
J'épongé la table.	Ich trockne den Tisch ab.	la	une,de,du	éponger	la table
Nous triomphons de la victoire.	Wir triumphieren über den Sieg.	de	à,sur,pour	triompher	la victoire
Il a accidenté la voiture.	Er hat das Auto beschädigt.	la	une,de,du	accidenter	la voiture
Nous longeons la plage.	Wir gehen entlang des Strandes.	la	une,de,du	longer	la plage
Il façonne l'objet.	Er formt den Gegenstand.	l'	un,la,le	façonner	l'objet
Elle terrifie l'enfant.	Sie erschreckt das Kind.	l'	un,la,le	terrifier	l'enfant
Il lèse l'intérêt.	Er verletzt das Interesse.	l'	un,la,le	léser	l'intérêt
Nous bornons l'espace.	Wir begrenzen den Raum.	l'	un,la,le	borner	l'espace
Il amorce la discussion.	Er leitet die Diskussion ein.	la	une,de,du	amorcer	la discussion
Nous figeons la nourriture.	Wir frieren die Nahrung ein.	la	une,de,du	figer	la nourriture
L'enfant boude.	Das Kind schmollt.	l'	un,la,le	bouder	l'enfant
Je dissous le sucre.	Ich löse den Zucker auf.	le	un,la,les	dissoudre	le sucre
Il paie l'achat.	Er bezahlt den Kauf.	l'	un,la,les	payer	l'achat
Elle chine le vêtement.	Sie stöbert im Kleidungsstück.	le	un,la,les	chiner	le vêtement
J'arrose la fleur.	Ich gieße die Blume.	la	une,de,du	arroser	la fleur
Nous fuyons le danger.	Wir fliehen vor der Gefahr.	le	un,la,les	fuir	le danger
Je mange le pain.	Ich esse das Brot.	le	un,la,les	manger	le pain
Il transpose l'information.	Er transponiert die Information.	l'	un,la,le	transposer	l'information
Elle vend le produit.	Sie verkauft das Produkt.	le	un,la,les	vendre	le produit
Il décroche le prix.	Er nimmt den Preis ab.	le	un,la,les	décrocher	le prix
Nous contrôlons le processus.	Wir kontrollieren den Prozess.	le	un,la,les	contrôler	le processus
Elle équipe le bureau.	Sie stattet das Büro aus.	le	un,la,les	équiper	le bureau
Cela aboutit à la situation.	Das führt zu der Situation.	à	de,sur,pour	aboutir	la situation
Je freine le vélo.	Ich bremse das Fahrrad.	le	un,la,les	freiner	le vélo
Il contraint la situation.	Er zwingt die Situation.	la	une,de,du	contraindre	la situation
Elle littératurise l'écriture.	Sie literaturisiert das Schreiben.	l'	un,la,le	littératurer	l'écriture
Je console l'enfant.	Ich tröste das Kind.	l'	un,la,le	consoler	l'enfant
Il permet un changement.	Er erlaubt eine Veränderung.	un	le,la,les	permettre	un changement
Il défonce le coffre.	Er bricht die Truhe auf.	le	un,la,les	défoncer	le coffre
Je raccorde l'appareil.	Ich schließe das Gerät an.	l'	le,un,la	raccorder	l'appareil
Elle esquisse le dessin.	Sie skizziert die Zeichnung.	le	un,la,de	esquisser	le dessin
Nous votons pour le candidat.	Wir wählen den Kandidaten.	pour	à,de,sur	voter	le candidat
Il exclame la phrase.	Er ruft den Satz aus.	la	le,une,de	exclamer	la phrase
Ils martyrisent la personne.	Sie quälen die Person.	la	une,de,le	martyriser	la personne
Je veux aider la personne.	Ich möchte der Person helfen.	la	une,de,le	aider	la personne
Nous amollissons la matière.	Wir erweichen das Material.	la	une,de,le	amollir	la matière
Elle évade la prison.	Sie entkommt aus dem Gefängnis.	la	une,de,le	évader	la prison
Je rentre dans la maison.	Ich kehre ins Haus zurück.	dans	à,sur,de	rentrer	la maison
Il parle avec la personne.	Er spricht mit der Person.	avec	à,de,pour	parler	la personne
La plante languit dans le pot.	Die Pflanze verwelkt im Topf.	dans	à,sur,de	languir	la plante
Le spectacle émerveille les enfants.	Das Schauspiel verzaubert die Kinder.	les	des,un,de	émerveiller	le spectacle
Il enfle le poumon.	Er schwillt die Lunge an.	le	un,la,de	enfler	le poumon
Je reconnais la chanson.	Ich erkenne das Lied.	la	un,de,le	reconnaître	la chanson
Ils harcèlent la personne.	Sie belästigen die Person.	la	une,de,le	harceler	la personne
Elle décompresse la tension.	Sie entspannt die Spannung.	la	une,de,le	décompresser	la tension
Il bougonne à la personne.	Er murrt über die Person.	à	de,sur,avec	bougonner	la personne
Nous régalons le client.	Wir verwöhnen den Kunden.	le	un,la,de	régaler	le client
Je prends un bus.	Ich nehme einen Bus.	un	le,la,de	prendre	un bus
Elle excite la situation.	Sie regt die Situation auf.	la	une,de,le	exciter	la situation
Il répond à la demande.	Er antwortet auf die Anfrage.	à	de,sur,pour	répondre	la demande
Nous retraitons l'offre.	Wir ziehen das Angebot zurück.	l'	le,une,de	retraiter	l'offre
Il pulvérise la matière.	Er zersäuft das Material.	la	une,de,le	pulvériser	la matière
L'air est contaminé.	Die Luft ist kontaminiert.	l'	le,une,de	contaminer	l'air
Je feuillette le journal.	Ich blättere in der Zeitung.	le	un,la,de	feuilleter	le journal
La pluie inonde le champ.	Der Regen überflutet das Feld.	le	un,la,de	inonder	le champ
Nous perpétuons la tradition.	Wir bewahren die Tradition.	la	une,de,le	perpétuer	la tradition
Il braise la viande.	Er schmort das Fleisch.	la	une,de,le	braiser	la viande
Il circonstancie le contexte.	Er umschreibt den Kontext.	le	un,la,de	circonstancier	le contexte
J'emporte la nourriture.	Ich nehme die Nahrung mit.	la	une,de,le	emporter	la nourriture
Je déroule le tapis.	Ich rolle den Teppich ab.	le	un,la,du	dérouler	le tapis
Je transforme l'espace.	Ich verwandle den Raum.	l'	un,le,de	transformer	l'espace
Je vends le produit.	Ich verkaufe das Produkt.	le	un,la,de	vendre	le produit
Je réalise l'idée.	Ich realisiere die Idee.	l'	une,le,de	réaliser	l'idée
Je fédère le groupe.	Ich vereine die Gruppe.	le	un,la,de	fédérer	le groupe
Je lâche l'objet.	Ich lasse den Gegenstand los.	l'	un,le,de	lâcher	l'objet
J'assèche la rivière.	Ich trockne den Fluss aus.	la	une,le,de	assécher	la rivière
J'engouffre l'objet.	Ich stürze den Gegenstand hinein.	l'	un,le,de	engouffrer	l'objet
Je proviens de l'origine.	Ich stamme von dem Ursprung.	de	à,du,le	provenir	l'origine
Je dessers le plat.	Ich serviere das Gericht ab.	le	un,la,de	desservir	le plat
Je suis l'enfant.	Ich bin das Kind.	l'	un,le,de	être	l'enfant
J'exècre la situation.	Ich verabscheue die Situation.	la	une,le,de	exécrer	la situation
Je parie sur l'événement.	Ich wette auf das Ereignis.	sur	à,de,le	parier	l'événement
Je repose le moment.	Ich ruhe den Moment aus.	le	un,la,de	reposer	le moment
J'espère la réussite.	Ich hoffe auf den Erfolg.	la	une,le,de	espérer	la réussite
Je convaincs l'auditoire.	Ich überzeuge das Publikum.	l'	un,le,de	convaincre	l'auditoire
Je réprime le comportement.	Ich unterdrücke das Verhalten.	le	un,la,de	réprimer	le comportement
Je refais le projet.	Ich mache das Projekt wieder.	le	un,la,de	refaire	le projet
Je distingue la caractéristique.	Ich unterscheide das Merkmal.	la	une,le,de	distinguer	la caractéristique
Je drache le vêtement.	Ich ziehe das Kleidungsstück herunter.	le	un,la,de	dracher	le vêtement
J'évite le conflit.	Ich vermeide den Konflikt.	le	un,la,de	éviter	le conflit
Je change l'idée.	Ich ändere die Idee.	l'	une,le,de	changer	l'idée
Je tapote le papier.	Ich tippe auf das Papier.	le	un,la,de	tapoter	le papier
J'écoute la conversation.	Ich höre das Gespräch zu.	la	une,le,de	écouter	la conversation
Je renais le projet.	Ich werde das Projekt wiedergeboren.	le	un,la,de	renaître	le projet
Je suspends l'objet.	Ich hänge den Gegenstand auf.	l'	un,le,de	suspendre	l'objet
Je flanque l'objet.	Ich platziere den Gegenstand.	l'	un,le,de	flanquer	l'objet
Je prouve le fait.	Ich beweise die Tatsache.	le	un,la,de	prouver	le fait
J'importune le travail.	Ich störe die Arbeit.	le	un,la,de	importuner	le travail
Je blanchis le linge.	Ich bleiche die Wäsche.	le	un,la,de	blanchir	le linge
Je tasse le matériau.	Ich presse das Material.	le	un,du,la	tasser	le matériau
Je suppose l'hypothèse.	Ich nehme die Hypothese an.	l'	une,la,de	supposer	l'hypothèse
Il généralise la situation.	Er verallgemeinert die Situation.	la	une,de,le	généraliser	la situation
Elle perforé l'objet.	Sie durchbohrt den Gegenstand.	l'	un,le,de	perforer	l'objet
Nous proposons la solution.	Wir schlagen die Lösung vor.	la	une,le,de	proposer	la solution
Il suscite l'émotion.	Er löst die Emotion aus.	l'	une,la,de	susciter	l'émotion
L'étoile gravite autour du soleil.	Der Stern gravitiert um die Sonne.	du	de,le,la	graviter	l'étoile
Je réécris l'histoire.	Ich schreibe die Geschichte neu.	l'	une,la,de	réécrire	l'histoire
Le palais trône sur la colline.	Der Palast thront auf dem Hügel.	sur	dans,à,avec	trôner	le palais
Nous pallions le problème.	Wir mildern das Problem ab.	le	un,la,de	pallier	le problème
Je teste l'échantillon.	Ich teste die Probe.	l'	une,la,de	tester	l'échantillon
Je revois l'ami.	Ich sehe den Freund wieder.	l'	un,le,de	revoir	l'ami
Il concocte le plan.	Er brütet den Plan aus.	le	un,la,de	concocter	le plan
Nous dénouons le problème.	Wir entwirren das Problem.	le	un,la,de	dénouer	le problème
Il statue sur le cas.	Er entscheidet über den Fall.	sur	dans,à,avec	statuer	le cas
Elle contribue au projet.	Sie trägt zum Projekt bei.	au	à,le,de	contribuer	le projet
J'ouvre le cadeau.	Ich öffne das Geschenk.	le	un,la,de	ouvrir	le cadeau
Nous parlons du sujet.	Wir sprechen über das Thema.	du	de,le,la	parler	le sujet
Il caractérise la personnalité.	Er charakterisiert die Persönlichkeit.	la	une,de,le	caractériser	la personnalité
Elle flatte la personne.	Sie schmeichelt der Person.	la	une,de,le	flatter	la personne
Je laisse le choix.	Ich lasse die Wahl.	le	un,la,de	laisser	le choix
Nous naviguons sur le bateau.	Wir navigieren mit dem Boot.	sur	à,dans,avec	naviguer	le bateau
L'image transparaît dans le miroir.	Das Bild scheint im Spiegel durch.	dans	à,sur,avec	transparaître	l'image
J'étudie le sujet.	Ich studiere das Thema.	le	un,la,de	étudier	le sujet
Je goûte l'eau.	Ich koste das Wasser.	l'	une,la,de	gouter	l'eau
Je récupère l'objet.	Ich bekomme den Gegenstand zurück.	l'	un,le,de	récupérer	l'objet
J'estime le coût.	Ich schätze die Kosten.	le	un,la,de	estimer	le coût
Il reconquiert le marché.	Er gewinnt den Markt zurück.	le	un,la,de	reconquérir	le marché
Elle accable la personne.	Sie überwältigt die Person.	la	une,de,le	accabler	la personne
Je monte au cheval.	Ich steige auf das Pferd.	au	à,sur,dans	monter	le cheval
Je déjoue la stratégie.	Ich vereitle die Strategie.	la	de,une,le	déjouer	la stratégie
Je saturerai la couleur.	Ich sättige die Farbe.	la	une,de,le	saturer	la couleur
J'emplis le sac.	Ich fülle die Tasche.	le	une,de,la	emplir	le sac
J'encense le travail.	Ich lobe die Arbeit.	le	une,de,la	encenser	le travail
J'envisage un changement.	Ich ziehe eine Veränderung in Betracht.	un	le,la,de	envisager	un changement
Je mémorise le texte.	Ich merke den Text.	le	une,de,la	mémoriser	le texte
Je jeûne pendant le temps.	Ich faste während der Zeit.	le	un,de,la	jeûner	temps
Je subordonne le sujet.	Ich ordne das Thema unter.	le	une,de,la	subordonner	le sujet
Je recommande le livre.	Ich empfehle das Buch.	le	une,de,la	recommander	le livre
Je planifie la réunion.	Ich plane das Treffen.	la	une,de,le	planifier	la réunion
J'épicé la nourriture.	Ich würze die Nahrung.	la	une,de,le	épicer	la nourriture
La neige retombe.	Der Schnee fällt wieder.	la	une,de,le	retomber	la neige
Je regagne le territoire.	Ich gewinne das Gebiet zurück.	le	une,de,la	regagner	le territoire
Je pense à l'idée.	Ich denke an die Idee.	à	de,sur,pour	penser	l'idée
Je cuis la viande.	Ich koche das Fleisch.	la	une,de,le	cuire	la viande
Je contracte la dette.	Ich vertrag die Schuld.	la	une,de,le	contracter	la dette
Je pomponne l'événement.	Ich peppe das Ereignis auf.	l'	le,une,de	pomponner	l'événement
Je flambe le feu.	Ich flammt das Feuer.	le	une,de,la	flamber	le feu
J'alloue du temps.	Ich teile Zeit zu.	du	le,une,de	allouer	temps
Je gagne le jeu.	Ich gewinne das Spiel.	le	une,de,la	gagner	le jeu
J'arpente le chemin.	Ich stecke den Weg ab.	le	une,de,la	arpenter	le chemin
Je place l'équipement.	Ich platziere die Ausrüstung.	l'	le,une,de	placer	l'équipement
Je prends la décision.	Ich treffe die Entscheidung.	la	une,de,le	prendre	la décision
Je sursaute au bruit.	Ich zucke beim Lärm zusammen.	au	le,de,une	sursauter	le bruit
Je chôme l'emploi.	Ich bin arbeitslos bei der Anstellung.	l'	le,une,de	chômer	l'emploi
Je rêvasse le moment.	Ich träume den Moment.	le	une,de,la	rêvasser	le moment
Je gonfle le ballon.	Ich blase den Ball auf.	le	une,de,la	gonfler	le ballon
Je pétris l'argile.	Ich knete den Ton.	l'	le,une,de	pétrir	l'argile
Je discipline l'enfant.	Ich diszipliniere das Kind.	l'	le,une,de	discipliner	l'enfant
J'opère la chirurgie.	Ich operiere die Chirurgie.	la	une,de,le	opérer	la chirurgie
Je vais applaudir l'artiste.	Ich werde den Künstler applaudieren.	l'	de,le,une	applaudir	l'artiste
J'utilise l'appareil.	Ich benutze das Gerät.	l'	un,le,de	utiliser	l'appareil
Je laminer le produit.	Ich laminieren das Produkt.	le	un,la,de	laminer	le produit
Je jogge avec l'équipement.	Ich jogge mit der Ausrüstung.	avec	dans,sur,au	jogger	l'équipement
