source_display	target	card_type	level	word_class	gender	flelex_word	freq_total
l' ami	Freund	words	A1	noun	masculine	ami	674.89
vivre	leben	words	A1	verb		vivre	667.58
pendant	während	words	A1	preposition		pendant	663.78
croire	glauben	words	A1	verb		croire	641.51
jamais	nie	words	A1	adverb		jamais	637.95
avant	vorher	words	A1	preposition		avant	632.90
comprendre	verstehen	words	A1	verb		comprendre	627.85
trop	zu viel	words	A1	adverb		trop	626.73
la fille	Mädchen	words	A1	noun	feminine	fille	625.70
souvent	oft	words	A1	adverb		souvent	621.63
comment ?	wodurch	words	A1	adverb		comment	618.32
quel ?	was für	words	A1	pronoun		quel	614.39
chercher	suchen	words	A1	verb		chercher	603.58
ici	hier	words	A1	adverb		ici	602.14
contre	dagegen	words	A1	preposition		contre	601.61
le Main	Hand	words	A1	noun	masculine	main	595.91
la porte	Tor	words	A1	noun	feminine	porte	595.86
travailler	arbeiten	words	A1	verb		travailler	587.87
laisser	lassen	words	A1	verb		laisser	578.92
devant	im voraus	words	A1	preposition		devant	573.31
la place	Platz	words	A1	noun	feminine	place	572.02
jusque	bis	words	A1	preposition		jusque	567.78
la famille	Sippe	words	A1	noun	feminine	famille	566.91
pourquoi ?	weswegen	words	A1	adverb		pourquoi	561.21
maintenant	jetzt	words	A1	adverb		maintenant	561.06
car	denn	words	A1	conjunction		car	558.77
dernier	letzte(r)	words	A1	adjective		dernier	554.12
gens	Leute	words	A1	noun		gens	551.90
le soir	Abend	words	A1	noun	masculine	soir	548.21
la nuit	Nacht	words	A1	noun	feminine	nuit	538.53
entrer	eingehen	words	A1	verb		entrer	535.33
toi	du	words	A1	pronoun		toi	532.65
la rue	Straße	words	A1	noun	feminine	rue	532.46
l' histoire	Historie	words	A1	noun	feminine	histoire	526.77
le moment	Weile	words	A1	noun	masculine	moment	525.75
commencer	anfangen	words	A1	verb		commencer	509.31
la chambre	Raum	words	A1	noun	feminine	chambre	507.58
sous	unter	words	A1	preposition		sous	498.90
le coup	Schlag	words	A1	noun	masculine	coup	498.90
retrouver	finden	words	A1	verb		retrouver	495.81
certain	bestimmt	words	A1	pronoun		certain	493.18
tard	spät	words	A1	adverb		tard	488.01
le nom	Name	words	A1	noun	masculine	nom	482.21
revenir	zufallen	words	A1	verb		revenir	466.61
chaque	jeder	words	A1	pronoun		chaque	456.61
la voiture	Auto	words	A1	noun	feminine	voiture	456.45
le matin	Morgen	words	A1	noun	masculine	matin	451.29
la question	Frage	words	A1	noun	feminine	question	450.33
permettre	erlauben	words	A1	verb		permettre	436.80
vieux	alt	words	A1	adjective		vieux	433.06
porter	tragen	words	A1	verb		porter	429.77
le lieu	Ort	words	A1	noun	masculine	lieu	429.45
seulement	einfach	words	A1	adverb		seulement	426.66
vrai	echt	words	A1	adjective		VRAI	419.84
l' exemple	Muster	words	A1	noun	masculine	exemple	417.89
rendre	zurückgeben	words	A1	verb		rendre	416.78
suivre	folgen	words	A1	verb		suivre	416.47
expliquer	darlegen	words	A1	verb		expliquer	414.42
tenir	halten	words	A1	verb		tenir	409.71
la Madame	Frau	words	A1	noun	feminine	madame	406.95
lire	lesen	words	A1	verb		lire	405.73
enfin	letzlich	words	A1	adverb		enfin	401.19
nombreux	viel	words	A1	adjective		nombreux	398.72
montrer	zeigen	words	A1	verb		montrer	394.55
ÉAU	Wasser	words	A1	noun		eau	387.10
ni	weder noch	words	A1	conjunction		ni	382.03
ainsi	demnach	words	A1	adverb		ainsi	378.97
plusieurs	mehrere	words	A1	pronoun		plusieurs	376.50
manger	essen	words	A1	verb	masculine	manger	374.28
mieux	besser	words	A1	adverb	masculine	mieux	372.44
continuer	dauern	words	A1	verb		continuer	372.08
la peur	Angst	words	A1	noun	feminine	peur	367.26
l' air	Luft	words	A1	noun	masculine	air	366.20
l' effet	Spin	words	A1	noun	masculine	effet	366.06
la voix	Stimme	words	A1	noun	feminine	voix	359.09
le mot	Wort	words	A1	noun	masculine	mot	357.42
vite	schnell	words	A1	adverb		vite	355.01
jouer	spielen	words	A1	verb		jouer	353.19
surtout	besonders	words	A1	adverb		surtout	352.40
la Terre	Erde	words	A1	noun	feminine	terre	351.96
loin	entfernt	words	A1	adverb		loin	350.95
la langue	Zunge	words	A1	noun	feminine	langue	349.12
sembler	klingen	words	A1	verb		sembler	348.71
rentrer	fahren	words	A1	verb		rentrer	337.21
ah	ach	phrases	A1	interjection		ah	335.56
la salle	Raum	words	A1	noun	feminine	salle	334.21
aider	helfen	words	A1	verb		aider	332.73
mourir	sterben	words	A1	verb		mourir	332.35
fort	laut	words	A1	adjective		fort	330.91
ouvrir	öffnen	words	A1	verb		ouvrir	330.64
longtemps	lange	words	A1	adverb		longtemps	329.33
l' argent	Geld	words	A1	noun	masculine	argent	327.36
perdre	verlieren	words	A1	verb		perdre	326.70
habiter	wohnen	words	A1	verb		habiter	325.31
aucun	kein	words	A1	pronoun		aucun	320.50
la semaine	Woche	words	A1	noun	feminine	semaine	320.45
la fin	Ende	words	A1	noun	feminine	fin	320.12
tomber	fallen	words	A1	verb		tomber	319.24
la raison	Grund	words	A1	noun	feminine	raison	316.19
sentir	fühlen / riechen	words	A1	verb		sentir	313.72
vraiment	wahrlich	words	A1	adverb		vraiment	313.27
gros	gut	words	A1	adjective		gros	312.02
quitter	trennen	words	A1	verb		quitter	311.89
blanc	weiss	words	A1	adjective	masculine	blanc	311.81
oublier	auslassen	words	A1	verb		oublier	308.39
important	wichtig	words	A1	adjective		important	306.79
raconter	erzählen	words	A1	verb		raconter	304.36
plein	voll	words	A1	adjective		plein	304.31
finir	beenden	words	A1	verb		finir	297.87
changer	werden	words	A1	verb		changer	297.41
la recherche	Suche	words	A1	noun	feminine	recherche	294.61
rencontrer	treffen	words	A1	verb		rencontrer	292.99
crier	iahen	words	A1	verb		crier	292.70
le besoin	Not	words	A1	noun	masculine	besoin	290.91
le droit	Jura	words	A1	noun	masculine	droit	288.96
la tour	Turm	words	A1	noun	feminine	tour	288.20
le million	Million	words	A1	noun	masculine	million	286.93
assez	genügend	words	A1	adverb		assez	286.65
l' affaire	Ding	words	A1	noun	feminine	affaire	285.24
quoi	was	words	A1	pronoun		quoi	283.91
ensuite	nachher	words	A1	adverb		ensuite	280.43
proposer	beantragen	words	A1	verb		proposer	279.43
lever	heben	words	A1	verb		lever	278.52
le jeu	Do	words	A1	noun	masculine	jeu	278.39
occuper	besetzen	words	A1	verb		occuper	277.16
mort	Tod	words	A1	noun		mort	275.49
le pied	Fuß	words	A1	noun	masculine	pied	275.40
choisir	wählen / aussuchen	words	A1	verb		choisir	275.19
l' euro	Euro	words	A1	noun	masculine	euro	274.86
monter	gehen	words	A1	verb		monter	274.45
le roi	König	words	A1	noun	masculine	roi	273.34
le livre	Buch	words	A1	noun	masculine	livre	273.13
le fait	Tat	words	A1	noun	masculine	fait	273.02
cas	Fall	words	A1	noun		cas	270.46
le film	Film	words	A1	noun	masculine	film	264.10
mal	schlecht	words	A1	adverb	masculine	mal	262.75
la partie	Teil	words	A1	noun	feminine	partie	261.41
possible	etwaig	words	A1	adjective		possible	258.22
recevoir	kriegen	words	A1	verb		recevoir	257.43
la musique	Musik	words	A1	noun	feminine	musique	256.21
le rien	nichts	words	A1	noun	masculine	rien	254.69
la suite	Folge	words	A1	noun	feminine	suite	252.81
boire	trinken	words	A1	verb		boire	252.77
tourner	drehen	words	A1	verb		tourner	249.29
le milieu	Milieu	words	A1	noun	masculine	milieu	248.83
pourtant	trotzdem	words	A1	adverb		pourtant	248.81
asseoir	setzen	words	A1	verb		asseoir	248.53
heureux	glücklich	words	A1	adjective		heureux	248.05
autour	Habicht	words	A1	adverb	masculine	autour	247.71
exister	geben	words	A1	verb		exister	247.51
apprendre	lernen	words	A1	verb		apprendre	245.95
la minute	Minute	words	A1	noun	feminine	minute	245.91
marcher	gehen / laufen	words	A1	verb		marcher	245.11
le visage	Miene	words	A1	noun	masculine	visage	244.85
presque	beinahe	words	A1	adverb		presque	239.90
poser	bauen	words	A1	verb		poser	239.55
le village	Ort	words	A1	noun	masculine	village	238.72
le voyage	Tour	words	A1	noun	masculine	voyage	238.04
le jeûne	jung	words	A1	noun	masculine	jeune	236.91
plaire	mögen	words	A1	verb		plaire	236.72
la part	Teil	words	A1	noun	feminine	part	235.36
l' Amour	Amur	words	A1	noun	masculine	amour	235.10
le quartier	Kiez	words	A1	noun	masculine	quartier	234.89
envoyer	schicken	words	A1	verb		envoyer	234.29
l' entreprise	Firma	words	A1	noun	feminine	entreprise	234.24
rire	Lachen	words	A1	verb	masculine	rire	233.71
la police	Police	words	A1	noun	feminine	police	233.33
la table	Tafel	words	A1	noun	feminine	table	231.17
eh	na	phrases	A1	interjection		eh	231.07
le bureau	Amt	words	A1	noun	masculine	bureau	229.43
meilleur	besser	words	A1	adjective		meilleur	228.63
chacun	jeder	words	A1	pronoun		chacun	228.52
difficile	schwer	words	A1	adjective		difficile	228.34
le projet	Plan	words	A1	noun	masculine	projet	227.43
parfois	manchmal	words	A1	adverb		parfois	226.56
acheter	kaufen	words	A1	verb		acheter	225.00
le mari	Gatte	words	A1	noun	masculine	mari	224.62
gagner	aneignen	words	A1	verb		gagner	223.67
l' habitude	Usus	words	A1	noun	feminine	habitude	222.15
le cheval	Ross	words	A1	noun	masculine	cheval	221.64
la vacance	Ferien	words	A1	noun	feminine	vacance	221.22
noir	blau	words	A1	adjective		noir	220.53
demain	Morgen	words	A1	adverb		demain	220.07
apporter	bringen	words	A1	verb		apporter	219.63
le train	Zug	words	A1	noun	masculine	train	219.58
rappeler	anrufen	words	A1	verb		rappeler	218.99
selon	zufolge	words	A1	preposition		selon	217.64
dormir	schlafen	words	A1	verb		dormir	217.59
le bruit	Lärm	words	A1	noun	masculine	bruit	217.35
ancien	alt	words	A1	adjective		ancien	217.05
bonjour	grüß Gott	words	A1	noun		bonjour	216.65
le merci	Dank	words	A1	noun	masculine	merci	216.06
servir	dienen	words	A1	verb		servir	214.50
l' envie	Lust	words	A1	noun	feminine	envie	213.30
anglais	Englisch	words	A1	adjective		anglais	213.26
la lettre	Type	words	A1	noun	feminine	lettre	212.41
utiliser	benutzen	words	A1	verb		utiliser	212.35
simple	einfach	words	A1	adjective		simple	212.01
cacher	hehlen	words	A1	verb		cacher	208.99
le prix	Preis	words	A1	noun	masculine	prix	208.24
la couleur	Farbe	words	A1	noun	feminine	couleur	206.24
le groupe	Schar	words	A1	noun	masculine	groupe	205.47
ensemble	zusammen	words	A1	adverb		ensemble	205.26
offrir	bieten	words	A1	verb		offrir	204.45
le lit	Bett	words	A1	noun	masculine	lit	203.35
la face	Kopf	words	A1	noun	feminine	face	201.45
la carte	Menü	words	A1	noun	feminine	carte	201.27
juste	nur	words	A1	adjective		juste	200.33
politique	politisch	words	A1	adjective		politique	200.15
retourner	drehen	words	A1	verb		retourner	199.96
la demande	Geheiß	words	A1	noun	feminine	demande	198.12
jeter	speien	words	A1	verb		jeter	198.07
l' attention	Obacht	words	A1	noun	feminine	attention	196.52
triste	betrübt	words	A1	adjective		triste	194.47
tirer	feuern	words	A1	verb		tirer	194.00
l' information	Angabe	words	A1	noun	feminine	information	193.38
reprendre	rügen	words	A1	verb		reprendre	193.24
la cause	Ding	words	A1	noun	feminine	cause	192.54
la forme	Form	words	A1	noun	feminine	forme	191.90
compter	planen	words	A1	verb		compter	191.86
rouge	Rotkern	words	A1	adjective	masculine	rouge	190.54
le bout	Ende	words	A1	noun	masculine	bout	188.47
courir	laufen	words	A1	verb		courir	188.30
descendre	gehen	words	A1	verb		descendre	185.37
le bras	Arm	words	A1	noun	masculine	bras	184.38
national	national	words	A1	adjective		national	183.07
long	lang	words	A1	adjective		long	182.63
le mariage	Ehe	words	A1	noun	masculine	mariage	182.49
l' origine	Anfang	words	A1	noun	feminine	origine	181.81
la montagne	Berg	words	A1	noun	feminine	montagne	180.49
ajouter	anfügen	words	A1	verb		ajouter	177.39
oh	ach	phrases	A1	interjection		oh	177.31
l' arbre	Baum	words	A1	noun	masculine	arbre	175.73
l' endroit	Ort	words	A1	noun	masculine	endroit	175.05
marier	trauen	words	A1	verb		marier	174.96
soit	entweder	words	A1	conjunction		soit	174.62
le chemin	Weg	words	A1	noun	masculine	chemin	174.57
la route	Weg	words	A1	noun	feminine	route	174.42
battre	hauen	words	A1	verb		battre	174.32
l' association	Bund	words	A1	noun	feminine	association	173.84
le service	Amt	words	A1	noun	masculine	service	173.45
feu	Feuer	words	A1	noun		feu	172.83
le cheveu	Haar	words	A1	noun	masculine	cheveu	172.49
l' ordre	Ordo	words	A1	noun	masculine	ordre	171.97
le Soleil	Sonne	words	A1	noun	masculine	soleil	171.53
le plaisir	Spaß	words	A1	noun	masculine	plaisir	171.38
installer	einführen	words	A1	verb		installer	171.11
organiser	einrichten	words	A1	verb		organiser	170.77
le jardin	Anlage	words	A1	noun	masculine	jardin	170.41
l' animal	Tier	words	A1	noun	masculine	animal	169.69
fermer	schließen	words	A1	verb		fermer	169.63
la photo	Foto	words	A1	noun	feminine	photo	167.46
la peine	Weh	words	A1	noun	feminine	peine	167.05
professeur	Lehrer	words	A1	noun		professeur	166.93
libre	frei	words	A1	adjective		libre	166.19
l' objet	Ding	words	A1	noun	masculine	objet	166.13
riche	reich	words	A1	adjective		riche	165.87
vendre	verkaufen	words	A1	verb		vendre	165.14
propre	rein	words	A1	adjective		propre	163.61
la mode	Art	words	A1	noun	feminine	mode	163.50
pleurer	heulen	words	A1	verb		pleurer	163.48
garder	hüten	words	A1	verb		garder	160.55
sourire	Lachen	words	A1	verb	masculine	sourire	160.13
la situation	Lage	words	A1	noun	feminine	situation	159.36
le client	Kunde	words	A1	noun	masculine	client	159.19
le retour	Rückweg	words	A1	noun	masculine	retour	157.26
la cuisine	Kost	words	A1	noun	feminine	cuisine	156.73
refuser	weigern	words	A1	verb		refuser	155.07
le lendemain	am folgenden Tag	words	A1	noun	masculine	lendemain	154.20
l' Internet	Internet	words	A1	noun	masculine	internet	153.92
le nombre	Zahl	words	A1	noun	masculine	nombre	152.04
content	froh	words	A1	adjective		content	151.91
le moyen	Weg	words	A1	noun	masculine	moyen	151.37
le restaurant	Gaststätte	words	A1	noun	masculine	restaurant	148.66
la chance	Glück	words	A1	noun	feminine	chance	148.17
journaliste	Journalist	words	A1	noun		journaliste	148.16
le produit	Ding	words	A1	noun	masculine	produit	147.90
apercevoir	sehen	words	A1	verb		apercevoir	147.77
l' habitant	Bewohner	words	A1	noun	masculine	habitant	146.22
l' art	Kunst	words	A1	noun	masculine	art	145.83
revoir	wiedersehen	words	A1	verb		revoir	145.69
international	international	words	A1	adjective		international	145.39
la fleur	Kahm	words	A1	noun	feminine	fleur	145.11
l' image	Bild	words	A1	noun	feminine	image	144.80
tant	so lang	words	A1	adverb		tant	144.50
coucher	legen	words	A1	verb		coucher	144.39
bleu	Blau	words	A1	adjective		bleu	143.67
frapper	hauen	words	A1	verb		frapper	143.41
le mer	Mi	words	A1	noun	masculine	mer	143.17
accepter	annehmen	words	A1	verb		accepter	143.00
la classe	Elan	words	A1	noun	feminine	classe	142.98
le tout	alles / ganz	words	A1	noun	masculine	tout	141.81
conduire	fahren	words	A1	verb		conduire	141.64
la reine	Dame	words	A1	noun	feminine	reine	141.32
personne	niemand	words	A1	adverb	masculine	personne	140.93
joli	hübsch	words	A1	adjective	masculine	joli	140.75
adorer	anbeten	words	A1	verb		adorer	139.89
mauvais	böse	words	A1	adjective		mauvais	139.70
le vin	Wein	words	A1	noun	masculine	vin	139.24
le sport	Sport	words	A1	noun	masculine	sport	138.85
inviter	bitten	words	A1	verb		inviter	137.13
accompagner	geleiten	words	A1	verb		accompagner	136.48
hier	gestern	words	A1	adverb		hier	136.21
manquer	fehlen	words	A1	verb		manquer	135.78
sauver	retten	words	A1	verb		sauver	135.64
le choix	Wahl	words	A1	noun	masculine	choix	135.48
le centre	Mitte	words	A1	noun	masculine	centre	135.42
voici	hier ist	words	A1	adverb		voici	135.21
le mur	Wand	words	A1	noun	masculine	mur	134.60
traverser	gehen	words	A1	verb		traverser	134.20
le site	Gegend	words	A1	noun	masculine	site	133.93
le roman	Roman	words	A1	noun	masculine	roman	133.15
le verre	Glas	words	A1	noun	masculine	verre	133.10
froid	kalt	words	A1	adjective		froid	133.08
avancer	vorgehen	words	A1	verb		avancer	132.40
visiter	besuchen	words	A1	verb		visiter	132.39
impossible	unmöglich	words	A1	adjective		impossible	132.22
le Dieu	Gott	words	A1	noun	masculine	dieu	131.37
partager	teilen	words	A1	verb		partager	131.21
le Chien	Hund	words	A1	noun	masculine	chien	130.41
le bord	Bord	words	A1	noun	masculine	bord	130.30
la guerre	Krieg	words	A1	noun	feminine	guerre	130.30
la campagne	Land	words	A1	noun	feminine	campagne	129.93
le bois	Hain	words	A1	noun	masculine	bois	129.27
construire	bauen	words	A1	verb		construire	128.66
souhaiter	mögen	words	A1	verb		souhaiter	128.25
habiller	kleiden	words	A1	verb		habiller	127.97
personnage	Figur	words	A1	noun		personnage	127.35
l' appartement	Wohnung	words	A1	noun	masculine	appartement	126.86
terrible	furchtbar	words	A1	adjective		terrible	125.40
l' ordinateur	Rechner	words	A1	noun	masculine	ordinateur	125.10
mondial	weltweit	words	A1	adjective		mondial	124.84
la course	Lauf	words	A1	noun	feminine	course	124.33
le programme	Programm	words	A1	noun	masculine	programme	124.29
culturel	kulturell	words	A1	adjective		culturel	123.83
le Cri	Cree	words	A1	noun	masculine	cri	123.76
le passage	Maut	words	A1	noun	masculine	passage	123.33
la population	Population	words	A1	noun	feminine	population	123.17
le juillet	Juli	words	A1	noun	masculine	juillet	122.78
magnifique	blank	words	A1	adjective		magnifique	122.64
l' espace	All	words	A1	noun	masculine	espace	122.22
le sac	Sack	words	A1	noun	masculine	sac	122.09
tranquille	fromm	words	A1	adjective		tranquille	121.06
le directeur	Leiter	words	A1	noun	masculine	directeur	120.83
le premier	erste(r)	words	A1	noun	masculine	premier	120.67
toucher	tippen	words	A1	verb	masculine	toucher	120.36
la visite	Besuch	words	A1	noun	feminine	visite	120.02
scientifique	wissenschaftlich	words	A1	adjective		scientifique	119.42
imaginer	erdichten	words	A1	verb		imaginer	119.04
humain	human	words	A1	adjective		humain	117.53
interroger	befragen	words	A1	verb		interroger	117.31
le dimanche	Sonntag	words	A1	noun	masculine	dimanche	117.29
le type	Typ	words	A1	noun	masculine	type	117.00
aide	Hilfe	words	A1	noun		aide	116.56
situer	legen	words	A1	verb		situer	116.56
l' avis	Rat	words	A1	noun	masculine	avis	115.06
la prison	Knat	words	A1	noun	feminine	prison	114.52
combien ?	wie viel	words	A1	adverb		combien	114.08
promener	ausgehen	words	A1	verb		promener	114.04
l' oreille	Ohr	words	A1	noun	feminine	oreille	113.71
essayer	versuchen	words	A1	verb		essayer	113.56
chaud	heiß	words	A1	adjective		chaud	112.93
vert	säuerlich	words	A1	adjective		vert	112.80
produire	tragen	words	A1	verb		produire	112.42
clair	hell	words	A1	adjective		clair	112.34
soudain	schroff	words	A1	adverb		soudain	111.76
souvenir	Andenken	words	A1	verb	masculine	souvenir	111.68
ressembler	ähneln	words	A1	verb		ressembler	111.15
le mal	Weh	words	A1	noun	masculine	mal	110.85
l' ensemble	Menge	words	A1	noun	masculine	ensemble	110.58
le journal	Journal	words	A1	noun	masculine	journal	110.47
le plan	Plan	words	A1	noun	masculine	plan	109.64
bas	tief	words	A1	adjective		bas	109.46
le mai	Mai	words	A1	noun	masculine	mai	109.20
embrasser	küssen	words	A1	verb		embrasser	108.92
la culture	Anbau	words	A1	noun	feminine	culture	108.88
voisin	Nachbar	words	A1	noun		voisin	108.45
cher	geehrt	words	A1	adverb		cher	107.57
particulier	einzeln	words	A1	adjective		particulier	107.46
le magasin	Laden	words	A1	noun	masculine	magasin	107.42
le ciel	Himmel	words	A1	noun	masculine	ciel	107.25
le conseil	Rat	words	A1	noun	masculine	conseil	107.17
responsable	verantwortlich	words	A1	adjective		responsable	106.94
prochain	nahe	words	A1	adjective		prochain	106.80
le repas	Fraß	words	A1	noun	masculine	repas	106.76
chanter	singen	words	A1	verb		chanter	106.03
principal	wichtigste	words	A1	adjective		principal	105.03
facile	leicht	words	A1	adjective		facile	104.59
le bonheur	Glück	words	A1	noun	masculine	bonheur	104.41
annoncer	ansagen	words	A1	verb		annoncer	104.03
gentil	brav	words	A1	adjective		gentil	103.80
la poste	Post	words	A1	noun	feminine	poste	103.28
local	lokal	words	A1	adjective		local	102.95
le couple	Paar	words	A1	noun	masculine	couple	102.87
l' aventure	Abenteuer	words	A1	noun	feminine	aventure	102.49
le domaine	Gut	words	A1	noun	masculine	domaine	101.77
voler	rauben	words	A1	verb		voler	100.88
la maman	Mama	words	A1	noun	feminine	maman	100.45
quand ?	wann	words	A1	adverb		quand	100.24
publier	ansagen	words	A1	verb		publier	99.92
le chat	Kater	words	A1	noun	masculine	chat	99.67
le texte	Text	words	A1	noun	masculine	texte	99.26
tromper	äffen	words	A1	verb		tromper	99.06
le coin	Eck	words	A1	noun	masculine	coin	98.85
l' exposition	Lage	words	A1	noun	feminine	exposition	98.37
le septembre	Scheiding	words	A1	noun	masculine	septembre	98.37
le vent	Wind	words	A1	noun	masculine	vent	97.92
la science	Wissen	words	A1	noun	feminine	science	97.80
promettre	geloben	words	A1	verb		promettre	96.98
la nature	Geist	words	A1	noun	feminine	nature	96.88
la cour	Hof	words	A1	noun	feminine	cour	96.67
vue	Auge	words	A1	noun		vue	96.58
long	lang	words	A1	noun		long	96.16
la marche	Mark	words	A1	noun	feminine	marche	96.04
le Sud	Süden	words	A1	noun	masculine	sud	95.79
le juin	Juni	words	A1	noun	masculine	juin	95.65
amuser	ergötzen	words	A1	verb		amuser	95.21
le janvier	Januar	words	A1	noun	masculine	janvier	95.14
cher	hold	words	A1	adjective		cher	95.07
court	kurz	words	A1	adjective	masculine	court	94.85
l' hiver	Winter	words	A1	noun	masculine	hiver	94.45
droit	loyal	words	A1	adjective		droit	94.32
le Pierre	Peter	words	A1	noun	masculine	pierre	93.80
l' octobre	Oktober	words	A1	noun	masculine	octobre	93.68
la compagnie	Firma	words	A1	noun	feminine	compagnie	93.65
portable	tragbar	words	A1	adjective		portable	93.55
scolaire	schulisch	words	A1	adjective		scolaire	93.24
l' oiseau	Vogel	words	A1	noun	masculine	oiseau	92.72
interdire	verbieten	words	A1	verb		interdire	92.05
le parc	Park	words	A1	noun	masculine	parc	91.84
dangereux	bedrohlich	words	A1	adjective		dangereux	91.28
tellement	dermaßen	words	A1	adverb		tellement	91.22
le souvenir	Andenken	words	A1	noun	masculine	souvenir	91.17
la dame	Dame	words	A1	noun	feminine	dame	90.68
le reste	Rest	words	A1	noun	masculine	reste	90.58
amoureux	amourös	words	A1	adjective		amoureux	90.43
silence	Ruhe	words	A1	noun		silence	89.95
le dos	Rücken	words	A1	noun	masculine	dos	89.62
former	bilden	words	A1	verb		former	89.43
calme	fromm	words	A1	adjective		calme	88.84
emmener	mitnehmen	words	A1	verb		emmener	88.80
gauche	link	words	A1	adjective		gauche	88.74
observer	halten	words	A1	verb		observer	88.27
la fonction	Amt	words	A1	noun	feminine	fonction	87.49
l' ouvrier	Arbeiter	words	A1	noun	masculine	ouvrier	87.38
diriger	leiten	words	A1	verb		diriger	87.03
finalement	am Schluss	words	A1	adverb		finalement	86.72
voyager	reisen	words	A1	verb		voyager	86.55
