"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"45","noter","aufschreiben","verb","","Je note les points importants.","Schule","",""
"46","chercher","suchen","verb","","Je cherche mes clés depuis ce matin.","Schule","",""
"47","aimer","mögen; lieben","verb","","J'aime les films français et les séries historiques.","Meinungen & Kommunikation","",""
"48","adorer","lieben","verb","","Elle adore dessiner après l'école.","Meinungen & Kommunikation","",""
"49","détester","hassen","verb","","Il déteste attendre dans les longues files.","Meinungen & Kommunikation","",""
"50","préférer","bevorzugen","verb","","Je préfère le chocolat à la vanille.","Meinungen & Kommunikation","",""
"51","espérer","hoffen","verb","","J'espère que tout va bien.","Meinungen & Kommunikation","",""
"52","essayer","versuchen","verb","","On essaie une autre méthode.","Meinungen & Kommunikation","",""
"53","oublier","vergessen","verb","","J'oublie souvent mon mot de passe.","Meinungen & Kommunikation","",""
"54","se souvenir","sich erinnern","verb","","Je me souviens très bien de cette chanson.","Meinungen & Kommunikation","",""
"55","aider","helfen","verb","","Peux-tu m'aider avec ce formulaire ?","Meinungen & Kommunikation","",""
"56","rencontrer","treffen","verb","","Nous rencontrons nos amis devant la gare.","Meinungen & Kommunikation","",""
"57","montrer","zeigen","verb","","Montre-moi la photo, s'il te plaît.","Meinungen & Kommunikation","",""
"58","raconter","erzählen","verb","","Elle raconte une histoire drôle à la classe.","Meinungen & Kommunikation","",""
"59","parler de","über etwas sprechen","phrase","","On parle souvent de voyages en classe.","Meinungen & Kommunikation","",""
"60","téléphoner","telefonieren","verb","","Je téléphone à ma grand-mère le dimanche soir.","Meinungen & Kommunikation","",""
"61","inviter","einladen","verb","","J'invite deux amis à mon anniversaire.","Meinungen & Kommunikation","",""
"62","préparer","vorbereiten","verb","","Nous préparons le repas ensemble dans la cuisine.","Meinungen & Kommunikation","",""
"63","se lever","aufstehen","verb","","Je me lève à six heures et demie.","Zahlen & Zeit","",""
"64","se coucher","ins Bett gehen","verb","","Les enfants se couchent tôt le dimanche soir.","Zahlen & Zeit","",""
"65","se réveiller","aufwachen","verb","","Je me réveille avant mon alarme le lundi.","Zahlen & Zeit","",""
"66","se laver","sich waschen","verb","","Les enfants se lavent les mains avant de manger.","Zahlen & Zeit","",""
"67","s'habiller","sich anziehen","verb","","Elle s'habille rapidement avant de partir.","Zahlen & Zeit","",""
"68","se dépêcher","sich beeilen","verb","","Si on se dépêche, on arrivera à l'heure.","Zahlen & Zeit","",""
"69","manger","essen","verb","","On mange à la cantine aujourd'hui.","Zahlen & Zeit","",""
"70","boire","trinken","verb","","Je bois de l'eau après le sport.","Zahlen & Zeit","",""
"71","cuisiner","kochen","verb","","Mon père cuisine souvent le samedi soir.","Zahlen & Zeit","",""
"72","travailler","arbeiten","verb","","Ma sœur travaille dans une pharmacie.","Zahlen & Zeit","",""
"73","jouer","spielen","verb","","Les enfants jouent dans le jardin après l'école.","Zahlen & Zeit","",""
"74","regarder","anschauen","verb","","Nous regardons une série ce soir.","Zahlen & Zeit","",""
"75","écouter de la musique","Musik hören","phrase","","J'écoute de la musique dans le bus.","Zahlen & Zeit","",""
"76","utiliser","benutzen","verb","","On utilise cet ordinateur pour faire les devoirs.","Zahlen & Zeit","",""
"77","voyager","reisen","verb","","Ils aiment voyager en train à travers la France.","Zahlen & Zeit","",""
"78","la famille","die Familie","noun","f","Ma famille habite à Berlin.","Familie & Freunde","",""
"79","le père","der Vater","noun","m","Le père prépare le dîner ce soir.","Familie & Freunde","",""
"80","la mère","die Mutter","noun","f","La mère lit une histoire avant de dormir.","Familie & Freunde","",""
"81","le frère","der Bruder","noun","m","Mon frère joue souvent au foot après l'école.","Familie & Freunde","",""
"82","la sœur","die Schwester","noun","f","Ma sœur aime dessiner dans sa chambre.","Familie & Freunde","",""
"83","les parents","die Eltern","noun","","Les parents attendent devant l'école.","Familie & Freunde","",""
"84","le fils","der Sohn","noun","m","Leur fils a huit ans.","Familie & Freunde","",""
"85","la fille","die Tochter","noun","f","Sa fille apprend à faire du vélo.","Familie & Freunde","",""
"86","le grand-père","der Großvater","noun","m","Mon grand-père raconte souvent des histoires de son enfance.","Familie & Freunde","",""
"87","la grand-mère","die Großmutter","noun","f","Ma grand-mère fait un gâteau le dimanche.","Familie & Freunde","",""
"88","l'oncle","der Onkel","noun","","Mon oncle habite à Lyon.","Familie & Freunde","",""
"89","la tante","die Tante","noun","f","Ma tante vient nous voir ce week-end.","Familie & Freunde","",""
"90","le cousin","der Cousin","noun","m","Mon cousin commence le collège en septembre.","Familie & Freunde","",""
"91","la cousine","die Cousine","noun","f","Ma cousine joue du piano depuis deux ans.","Familie & Freunde","",""
"92","l'ami","der Freund","noun","","Mon ami m'aide pour les devoirs.","Familie & Freunde","",""
"93","l'amie","die Freundin","noun","","Mon amie arrive dans dix minutes.","Familie & Freunde","",""
"94","le voisin","der Nachbar","noun","m","Le voisin ferme toujours la porte du jardin.","Familie & Freunde","",""
"95","la voisine","die Nachbarin","noun","f","La voisine promène son chien chaque matin.","Familie & Freunde","",""
"96","l'école","die Schule","noun","","L'école est près du parc.","Schule","",""
"97","le collège","die weiterführende Schule","noun","m","Le collège se trouve derrière la mairie.","Schule","",""
"98","le professeur","der Lehrer","noun","m","Le professeur explique la grammaire au tableau.","Schule","",""
"99","la professeure","die Lehrerin","noun","f","C'est la professeure.","Schule","",""
"100","l'élève","der Schüler","noun","","C'est l'élève.","Schule","",""
"101","la classe","die Klasse","noun","f","La classe commence à huit heures.","Schule","",""
"102","la salle de classe","das Klassenzimmer","noun","f","La salle de classe est calme ce matin.","Schule","",""
"103","la table","der Tisch","noun","f","La table est couverte de cahiers.","Schule","",""
"104","la chaise","der Stuhl","noun","f","La chaise est près de la fenêtre.","Schule","",""
"105","le cahier","das Heft","noun","m","C'est le cahier.","Schule","",""
"106","le livre","das Buch","noun","m","Le livre est ouvert à la page trente.","Schule","",""
"107","le stylo","der Stift","noun","m","Il cherche un stylo bleu dans son sac.","Schule","",""
"108","le crayon","der Bleistift","noun","m","Le crayon roule sous la table.","Schule","",""
"109","la gomme","der Radiergummi","noun","f","C'est la gomme.","Schule","",""
"110","le sac","die Tasche","noun","m","Son sac est déjà prêt pour demain.","Schule","",""
"111","le devoir","die Hausaufgabe","noun","m","C'est le devoir.","Schule","",""
"112","l'exercice","die Übung","noun","","C'est l'exercice.","Schule","",""
"113","la question","die Frage","noun","f","J'ai une question sur l'exercice.","Schule","",""
"114","la réponse","die Antwort","noun","f","Ta réponse est correcte.","Schule","",""
"115","la matière","das Fach","noun","f","Ma matière préférée est l'histoire.","Schule","",""
"131","la maison","das Haus","noun","f","La maison a un petit jardin.","Haus & Wohnen","",""
"132","l'appartement","die Wohnung","noun","","Notre appartement est petit mais lumineux.","Haus & Wohnen","",""
"133","la chambre","das Zimmer","noun","f","Sa chambre donne sur le jardin.","Haus & Wohnen","",""
"134","la cuisine","die Küche","noun","f","La cuisine sent encore le café.","Haus & Wohnen","",""
"135","la salle de bains","das Badezimmer","noun","f","La salle de bains est juste à côté de la chambre.","Haus & Wohnen","",""
"136","le salon","das Wohnzimmer","noun","m","Nous passons la soirée dans le salon.","Haus & Wohnen","",""
"137","le jardin","der Garten","noun","m","Le jardin est plein de fleurs au printemps.","Haus & Wohnen","",""
"138","la porte","die Tür","noun","f","C'est la porte.","Haus & Wohnen","",""
"139","la fenêtre","das Fenster","noun","f","La fenêtre reste ouverte toute la matinée.","Haus & Wohnen","",""
"140","le lit","das Bett","noun","m","Le lit est trop petit pour deux personnes.","Haus & Wohnen","",""
"141","la lampe","die Lampe","noun","f","La lampe éclaire bien le coin lecture.","Haus & Wohnen","",""
"142","le bureau","der Schreibtisch","noun","m","Le bureau est couvert de papiers.","Haus & Wohnen","",""
"143","l'ordinateur","der Computer","noun","","L'ordinateur met du temps à démarrer.","Haus & Wohnen","",""
"144","la clé","der Schlüssel","noun","f","Je ne trouve plus la clé du garage.","Haus & Wohnen","",""
"145","le mur","die Wand","noun","m","Le mur est peint en blanc.","Haus & Wohnen","",""
"146","le pain","das Brot","noun","m","Je mange du pain au petit déjeuner.","Essen","",""
"147","le lait","die Milch","noun","m","Le lait est dans le frigo.","Essen","",""
"148","l'eau","das Wasser","noun","","L'eau est trop froide pour moi.","Essen","",""
"149","le jus","der Saft","noun","m","Le jus est servi au petit déjeuner.","Essen","",""
"150","le fromage","der Käse","noun","m","Le fromage vient du marché du samedi.","Essen","",""
"151","la viande","das Fleisch","noun","f","La viande cuit doucement dans la poêle.","Essen","",""
"152","le poisson","der Fisch","noun","m","Le poisson est servi avec du riz.","Essen","",""
"153","la salade","der Salat","noun","f","La salade est déjà prête.","Essen","",""
"154","la pomme","der Apfel","noun","f","La pomme est dans mon sac.","Essen","",""
"155","la banane","die Banane","noun","f","La banane est parfaite pour le goûter.","Essen","",""
"156","la tomate","die Tomate","noun","f","La tomate vient du marché.","Essen","",""
"157","la pomme de terre","die Kartoffel","noun","f","La pomme de terre doit encore cuire un peu.","Essen","",""
"158","le petit déjeuner","das Frühstück","noun","m","Le petit déjeuner commence à sept heures.","Essen","",""
"159","le déjeuner","das Mittagessen","noun","m","Le déjeuner est servi à midi.","Essen","",""
"160","le dîner","das Abendessen","noun","m","Le dîner est presque prêt.","Essen","",""
"215","grand","groß","adjective","","Mon frère est grand.","Allgemein","",""
"216","petit","klein","adjective","","Le chat est petit mais très rapide.","Allgemein","",""
"217","bon","gut","adjective","","C'est bon.","Allgemein","",""
"218","mauvais","schlecht","adjective","","Ce café est mauvais aujourd'hui.","Allgemein","",""
"219","beau","schön","adjective","","C'est beau.","Allgemein","",""
"220","joli","hübsch","adjective","","Ta robe est vraiment jolie.","Allgemein","",""
"221","jeune","jung","adjective","","Mon frère est encore jeune.","Allgemein","",""
"222","vieux","alt","adjective","","Mon grand-père est vieux, mais en forme.","Allgemein","",""
"223","nouveau","neu","adjective","","J'ai un nouveau téléphone.","Allgemein","",""
"224","important","wichtig","adjective","","C'est important.","Allgemein","",""
"225","facile","einfach","adjective","","C'est facile.","Allgemein","",""
"226","difficile","schwierig","adjective","","C'est difficile.","Allgemein","",""
"227","rapide","schnell","adjective","","C'est rapide.","Allgemein","",""
"228","lent","langsam","adjective","","Le bus est lent ce matin.","Allgemein","",""
"229","chaud","warm","adjective","","C'est chaud.","Allgemein","",""
"230","froid","kalt","adjective","","C'est froid.","Allgemein","",""
"231","cher","teuer","adjective","","C'est cher.","Allgemein","",""
"232","gratuit","kostenlos","adjective","","L'entrée au musée est gratuite.","Allgemein","",""
"233","content","zufrieden","adjective","","Je suis content.","Allgemein","",""
"234","fatigué","müde","adjective","","Je suis fatigué ce soir.","Allgemein","",""
"235","triste","traurig","adjective","","Je suis triste.","Allgemein","",""
"236","heureux","glücklich","adjective","","Je suis heureux.","Allgemein","",""
"237","gentil","nett","adjective","","Notre voisine est très gentille.","Allgemein","",""
"238","sympa","sympathisch","adjective","","Ton frère est vraiment sympa.","Allgemein","",""
"239","drôle","lustig","adjective","","Il est drôle.","Allgemein","",""
"240","possible","möglich","adjective","","C'est possible.","Allgemein","",""
"241","prêt","bereit","adjective","","Je suis prêt à partir.","Allgemein","",""
"242","occupé","beschäftigt","adjective","","Je suis occupé cet après-midi.","Allgemein","",""
"243","long","lang","adjective","","Elle a les cheveux longs.","Kleidung & Mode","",""
"244","court","kurz","adjective","","Il porte un short court en été.","Kleidung & Mode","",""
"245","blond","blond","adjective","","Son fils est blond comme elle.","Kleidung & Mode","",""
"246","brun","braunhaarig","adjective","","Il est brun et porte des lunettes.","Kleidung & Mode","",""
"247","clair","hell","adjective","","Il est clair.","Kleidung & Mode","",""
"248","foncé","dunkel","adjective","","Je préfère le bleu foncé.","Kleidung & Mode","",""
"249","propre","sauber","adjective","","La cuisine est propre maintenant.","Kleidung & Mode","",""
"250","sale","schmutzig","adjective","","Mes chaussures sont sales après la pluie.","Kleidung & Mode","",""
"251","toujours","immer","adverb","","Il est toujours à l'heure le matin.","Allgemein","",""
"252","souvent","oft","adverb","","Nous allons souvent au parc le dimanche.","Allgemein","",""
"253","parfois","manchmal","adverb","","Parfois, je rentre tard.","Allgemein","",""
"254","jamais","nie","adverb","","Je ne prends jamais de sucre dans mon café.","Allgemein","",""
"255","déjà","schon","adverb","","C'est déjà mieux comme ça.","Zahlen & Zeit","",""
"256","encore","noch","adverb","","Encore un problème à résoudre ?","Zahlen & Zeit","",""
"257","maintenant","jetzt","adverb","","Maintenant, il faut décider.","Zahlen & Zeit","",""
"258","ici","hier","adverb","","Viens ici, j'ai quelque chose à te montrer.","Stadt","",""
"259","là bas","dort drüben","adverb","","Le supermarché est là-bas, au coin.","Stadt","",""
"260","près","nahe","adverb","","La gare est près d'ici.","Stadt","",""
"261","loin","weit","adverb","","L'école est loin de chez nous.","Stadt","",""
"262","vite","schnell","adverb","","Viens vite, le train arrive.","Allgemein","",""
"263","bien","gut","adverb","","Tu parles très bien français maintenant.","Allgemein","",""
"264","mal","schlecht","adverb","","Je dors mal quand il fait trop chaud.","Allgemein","",""
"265","très","sehr","adverb","","Je suis très content aujourd'hui.","Allgemein","",""
"266","trop","zu sehr","adverb","","Tu parles trop fort.","Allgemein","",""
"267","mais","aber","conjunction","","Je suis fatigué, mais je dois encore travailler.","Meinungen & Kommunikation","",""
"268","et","und","conjunction","","Paul et Marie arrivent à huit heures.","Meinungen & Kommunikation","",""
"269","ou","oder","conjunction","","Tu préfères le thé ou le café ?","Meinungen & Kommunikation","",""
"270","parce que","weil","conjunction","","Je reste à la maison parce que je suis malade.","Meinungen & Kommunikation","",""
"271","donc","also","conjunction","","Il pleut, donc nous restons à la maison.","Meinungen & Kommunikation","",""
"272","puis","dann","conjunction","","Je finis mes devoirs, puis je regarde une série.","Meinungen & Kommunikation","",""
"273","si","wenn; ob","conjunction","","Si tu changes d'avis, écris-moi.","Meinungen & Kommunikation","",""
"274","je ne comprends pas","ich verstehe nicht","phrase","","Je ne comprends pas cette question.","Schule","",""
"275","tu peux répéter","kannst du wiederholen","phrase","","Tu peux répéter plus lentement ?","Schule","",""
"276","comment on dit","wie sagt man","phrase","","Comment on dit ""Fenster"" en français ?","Schule","",""
"277","qu'est-ce que ça veut dire","was bedeutet das","phrase","","Qu'est-ce que ça veut dire exactement ?","Schule","",""
"278","j'ai oublié","ich habe vergessen","phrase","","J'ai oublié mon cahier à la maison.","Schule","",""
"279","je n'ai pas de devoirs","ich habe keine Hausaufgaben","phrase","","Aujourd'hui, je n'ai pas de devoirs.","Schule","",""
"280","ouvrez le livre","öffnet das Buch","phrase","","Ouvrez le livre à la page dix.","Schule","",""
"281","fermez la porte","schließt die Tür","phrase","","Fermez la porte, il fait froid.","Schule","",""
"282","écoutez","hört zu","phrase","","Écoutez bien la consigne.","Schule","",""
"283","répétez s'il vous plaît","wiederholt bitte","phrase","","Répétez s'il vous plaît après moi.","Schule","",""
"284","bonjour","guten Tag","phrase","","Bonjour, comment ça va aujourd'hui ?","Allgemein","",""
"285","salut","hallo","phrase","","Salut, tu vas bien ?","Allgemein","",""
"286","bonsoir","guten Abend","phrase","","Bonsoir, vous avez réservé ?","Allgemein","",""
"287","au revoir","auf Wiedersehen","phrase","","Au revoir, à lundi !","Allgemein","",""
"288","à bientôt","bis bald","phrase","","À bientôt, j'espère !","Allgemein","",""
"289","merci","danke","phrase","","Merci pour ton message.","Allgemein","",""
"290","merci beaucoup","vielen Dank","phrase","","Merci beaucoup pour votre aide.","Allgemein","",""
"291","de rien","gern geschehen","phrase","","De rien, ça me fait plaisir.","Allgemein","",""
"292","s'il te plaît","bitte","phrase","","Ferme la fenêtre, s'il te plaît.","Allgemein","",""
"293","excuse-moi","entschuldige","phrase","","Excuse-moi, je suis un peu en retard.","Allgemein","",""
"294","pardon","Entschuldigung","phrase","","Pardon, je peux passer ?","Allgemein","",""
"295","ça va","es geht","phrase","","Ça va, inutile de répéter.","Allgemein","",""
"296","ça va bien","es geht gut","phrase","","Oui, ça va bien aujourd'hui.","Allgemein","",""
"297","comme ci comme ça","so lala","phrase","","Ça va ? Comme ci comme ça.","Allgemein","",""
"298","je vais bien","mir geht es gut","phrase","","Je vais bien, merci.","Allgemein","",""
"299","je suis fatigué","ich bin müde","phrase","","Je suis fatigué après le sport.","Allgemein","",""
"300","j'ai faim","ich habe Hunger","phrase","","J'ai faim, on mange quand ?","Allgemein","",""
"301","j'ai soif","ich habe Durst","phrase","","J'ai soif, je voudrais de l'eau.","Allgemein","",""
"302","j'ai peur","ich habe Angst","phrase","","J'ai peur dans le noir.","Allgemein","",""
"303","j'ai besoin de","ich brauche","phrase","","J'ai besoin de ton aide.","Allgemein","",""
"304","je ne sais pas","ich weiß nicht","phrase","","Je ne sais pas la réponse.","Allgemein","",""
"305","je pense que","ich denke, dass","phrase","","Je pense que tu as raison.","Allgemein","",""
"306","je crois que","ich glaube, dass","phrase","","Je crois que c'est une bonne idée.","Allgemein","",""
"307","je suis d'accord","ich bin einverstanden","phrase","","Oui, je suis d'accord avec toi.","Allgemein","",""
"308","pas du tout","überhaupt nicht","phrase","","Tu es fâché ? Pas du tout.","Allgemein","",""
"309","ça dépend","das kommt darauf an","phrase","","Ça dépend du prix.","Allgemein","",""
"310","bien sûr","natürlich","phrase","","Bien sûr, je peux t'aider.","Allgemein","",""
"311","où est la gare","wo ist der Bahnhof","phrase","","Où est la gare, s'il vous plaît ?","Stadt","",""
"312","c'est à gauche","es ist links","phrase","","La pharmacie ? C'est à gauche après le feu.","Stadt","",""
"313","c'est à droite","es ist rechts","phrase","","La poste est à droite de la mairie.","Stadt","",""
"314","tout droit","geradeaus","phrase","","Continuez tout droit jusqu'à la place.","Stadt","",""
"315","je cherche","ich suche","phrase","","Bonjour, je cherche la gare centrale.","Stadt","",""
"316","c'est loin","es ist weit","phrase","","La plage ? Oui, c'est loin d'ici.","Stadt","",""
"317","c'est près d'ici","es ist hier in der Nähe","phrase","","Le supermarché est près d'ici.","Stadt","",""
"318","combien ça coûte","wie viel kostet das","phrase","","Combien ça coûte, ce pull ?","Stadt","",""
"319","je voudrais","ich hätte gern","phrase","","Je voudrais un jus d'orange, s'il vous plaît.","Stadt","",""
"320","l'addition s'il vous plaît","die Rechnung bitte","phrase","","L'addition, s'il vous plaît.","Stadt","",""
"321","je m'appelle","ich heiße","phrase","","Je m'appelle Clara.","Familie & Freunde","",""
"322","j'ai douze ans","ich bin zwölf Jahre alt","phrase","","J'ai douze ans et je suis en sixième.","Familie & Freunde","",""
"323","j'habite à","ich wohne in","phrase","","J'habite à Berlin depuis deux ans.","Familie & Freunde","",""
"324","voici ma famille","das ist meine Familie","phrase","","Voici ma famille sur la photo.","Familie & Freunde","",""
"325","j'ai un frère","ich habe einen Bruder","phrase","","J'ai un frère plus âgé que moi.","Familie & Freunde","",""
"326","j'ai une sœur","ich habe eine Schwester","phrase","","J'ai une sœur qui aime la musique.","Familie & Freunde","",""
"327","mon anniversaire est le","mein Geburtstag ist am","phrase","","Mon anniversaire est le 14 mai.","Familie & Freunde","",""
"328","j'aime le sport","ich mag Sport","phrase","","J'aime le sport, surtout le tennis.","Freizeit & Hobbys","",""
"329","j'adore la musique","ich liebe Musik","phrase","","J'adore la musique française.","Freizeit & Hobbys","",""
"330","je préfère","ich bevorzuge","phrase","","Je préfère le train à la voiture.","Freizeit & Hobbys","",""
"331","je joue au football","ich spiele Fußball","phrase","","Je joue au football le mercredi.","Freizeit & Hobbys","",""
"332","je regarde un film","ich schaue einen Film","phrase","","Le soir, je regarde un film avec mes parents.","Freizeit & Hobbys","",""
"333","je lis un livre","ich lese ein Buch","phrase","","Dans le train, je lis un livre.","Freizeit & Hobbys","",""
"334","on se retrouve","wir treffen uns","phrase","","On se retrouve devant le cinéma à huit heures.","Freizeit & Hobbys","",""
"382","le pantalon","die Hose","noun","m","Ce pantalon est très confortable.","Kleidung & Mode","",""
"383","le jean","die Jeans","noun","m","On voit le jean sur la photo.","Kleidung & Mode","",""
"384","le t shirt","das T Shirt","noun","m","On voit le t shirt sur la photo.","Kleidung & Mode","",""
"385","la chemise","das Hemd","noun","f","On voit la chemise sur la photo.","Kleidung & Mode","",""
"386","le pull","der Pullover","noun","m","On voit le pull sur la photo.","Kleidung & Mode","",""
"387","la veste","die Jacke","noun","f","On voit la veste sur la photo.","Kleidung & Mode","",""
"388","le manteau","der Mantel","noun","m","On voit le manteau sur la photo.","Kleidung & Mode","",""
"389","la robe","das Kleid","noun","f","On voit la robe sur la photo.","Kleidung & Mode","",""
"390","la jupe","der Rock","noun","f","On voit la jupe sur la photo.","Kleidung & Mode","",""
"391","les chaussures","die Schuhe","noun","","On voit les chaussures sur la photo.","Kleidung & Mode","",""
"392","les baskets","die Turnschuhe","noun","","On voit les baskets sur la photo.","Kleidung & Mode","",""
"393","les chaussettes","die Socken","noun","","On voit les chaussettes sur la photo.","Kleidung & Mode","",""
"394","le chapeau","der Hut","noun","m","On voit le chapeau sur la photo.","Kleidung & Mode","",""
"395","l'écharpe","der Schal","noun","","On voit l'écharpe sur la photo.","Kleidung & Mode","",""
"396","le bonnet","die Mütze","noun","m","On voit le bonnet sur la photo.","Kleidung & Mode","",""
"397","les gants","die Handschuhe","noun","","On voit les gants sur la photo.","Kleidung & Mode","",""
"398","la taille","die Größe","noun","f","On voit la taille sur la photo.","Kleidung & Mode","",""
"399","la mode","die Mode","noun","f","On voit la mode sur la photo.","Kleidung & Mode","",""
"400","coloré","bunt","adjective","","C'est coloré.","Kleidung & Mode","",""
"401","confortable","bequem","adjective","","C'est confortable.","Kleidung & Mode","",""
"402","serré","eng","adjective","","C'est serré.","Kleidung & Mode","",""
"403","large","weit","adjective","","C'est large.","Kleidung & Mode","",""
"404","élégant","elegant","adjective","","C'est élégant.","Kleidung & Mode","",""
"405","sportif","sportlich","adjective","","C'est sportif.","Kleidung & Mode","",""
"406","bon marché","günstig","adjective","","C'est bon marché.","Kleidung & Mode","",""
"412","le soleil","die Sonne","noun","m","En été, le soleil est très fort.","Umwelt","",""
"413","la pluie","der Regen","noun","f","Aujourd'hui, on observe la pluie.","Umwelt","",""
"414","le vent","der Wind","noun","m","Aujourd'hui, on observe le vent.","Umwelt","",""
"415","la neige","der Schnee","noun","f","Aujourd'hui, on observe la neige.","Umwelt","",""
"416","le nuage","die Wolke","noun","m","Aujourd'hui, on observe le nuage.","Umwelt","",""
"417","le ciel","der Himmel","noun","m","Aujourd'hui, on observe le ciel.","Umwelt","",""
"418","la température","die Temperatur","noun","f","Aujourd'hui, on observe la température.","Umwelt","",""
"419","le printemps","der Frühling","noun","m","Aujourd'hui, on observe le printemps.","Umwelt","",""
"420","l'été","der Sommer","noun","","Aujourd'hui, on observe l'été.","Umwelt","",""
"421","l'automne","der Herbst","noun","","Aujourd'hui, on observe l'automne.","Umwelt","",""
"422","l'hiver","der Winter","noun","","Aujourd'hui, on observe l'hiver.","Umwelt","",""
"423","la forêt","der Wald","noun","f","Aujourd'hui, on observe la forêt.","Umwelt","",""
"424","la nature","die Natur","noun","f","Aujourd'hui, on observe la nature.","Umwelt","",""
"425","la terre","die Erde","noun","f","Aujourd'hui, on observe la terre.","Umwelt","",""
"426","l'environnement","die Umwelt","noun","","Aujourd'hui, on observe l'environnement.","Umwelt","",""
"427","ensoleillé","sonnig","adjective","","Le temps est ensoleillé.","Natur","",""
"428","nuageux","bewölkt","adjective","","Le temps est nuageux.","Natur","",""
"429","pluvieux","regnerisch","adjective","","Le temps est pluvieux.","Natur","",""
"430","humide","feucht","adjective","","Le temps est humide.","Natur","",""
"431","sec","trocken","adjective","","Le temps est sec.","Natur","",""
"432","frais","kühl","adjective","","Le temps est frais.","Natur","",""
"433","il fait beau","das Wetter ist schön","phrase","","Aujourd'hui, il fait beau et chaud.","Natur","",""
"434","il fait mauvais","das Wetter ist schlecht","phrase","","En novembre, il fait souvent mauvais.","Natur","",""
"435","il fait chaud","es ist warm","phrase","","En été, il fait très chaud à Marseille.","Natur","",""
"436","il fait froid","es ist kalt","phrase","","Ce matin, il fait froid dehors.","Natur","",""
"437","il pleut","es regnet","phrase","","Prends un parapluie, il pleut.","Natur","",""
"438","il neige","es schneit","phrase","","Regarde, il neige enfin !","Natur","",""
